CB00001	U+6B35
CB00002	U+9834
CB00004	U+982E
CB00007	U+6133
CB00008	U+53DC
CB00010	U+65B5
CB00012	U+3ABA
CB00013	U+6164
CB00017	U+5350
CB00018	U+5C05
CB00020	U+5F03
CB00023	U+8289
CB00024	U+8471
CB00025	U+82FD
CB00026	U+82F7
CB00027	U+8385
CB00028	U+8382
CB00030	U+8420
CB00031	U+83D3
CB00032	U+8488
CB00033	U+84DE
CB00034	U+84AD
CB00035	U+8597
CB00038	U+5E00
CB00039	U+88A0
CB00040	U+4E98
CB00041	U+9CF0
CB00042	U+517E
CB00045	U-00020BD7
CB00046	U+5637
CB00048	U+53F6
CB00049	U+5414
CB00050	U+3567
CB00051	U+541A
CB00052	U+5432
CB00053	U+5423
CB00054	U+544C
CB00055	U+356E
CB00056	U+5483
CB00057	U+546A
CB00058	U+545E
CB00059	U+549C
CB00061	U+548F
CB00062	U+54A4
CB00063	U-00020CBF
CB00064	U+555D
CB00065	U+556B
CB00066	U+35CC
CB00067	U-00020E3B
CB00068	U+55B0
CB00069	U+35DA
CB00071	U+55DE
CB00072	U+5607
CB00073	U+560A
CB00075	U-000224AF
CB00076	U+564D
CB00077	U+5654
CB00078	U+564F
CB00079	U+3601
CB00081	U+3605
CB00082	U+56A0
CB00085	U+56A9
CB00087	U+5470
CB00088	U+35C1
CB00089	U+55C1
CB00092	U-000213B0
CB00093	U+585C
CB00094	U+5737
CB00095	U+5742
CB00097	U+5813
CB00099	U+5850
CB00100	U+5878
CB00101	U+58DC
CB00102	U+58E0
CB00105	U+59B7
CB00106	U+59C9
CB00107	U+59AC
CB00108	U+59DF
CB00109	U+59F9
CB00110	U+5B7E
CB00111	U+5C1B
CB00113	U+5C53
CB00114	U+5D15
CB00115	U+37EA
CB00116	U+5D60
CB00118	U-00021EB2
CB00119	U+5D75
CB00120	U-00021EEC
CB00121	U-00021EBF
CB00122	U+5DB6
CB00123	U+5CEF
CB00124	U+5E56
CB00125	U+4FE3
CB00126	U+4FAB
CB00127	U+503F
CB00128	U+3466
CB00129	U+3465
CB00130	U+5058
CB00131	U+5071
CB00134	U+3483
CB00135	U+511E
CB00136	U+5116
CB00137	U+5128
CB00138	U+50FC
CB00140	U+74EB
CB00141	U+5302
CB00144	U+3779
CB00147	U+6239
CB00148	U+9CF8
CB00149	U+65A6
CB00150	U+661E
CB00151	U+6648
CB00152	U+6667
CB00153	U+668E
CB00154	U+66E2
CB00155	U+5190
CB00156	U+6630
CB00157	U+8193
CB00158	U+80A7
CB00159	U+80AC
