B-A140	 U+3000
B-A141	 U+FF0C
B-A142	 U+3001
B-A143	 U+3002
B-A144	 U+FF0E
B-A145	 U+2027
B-A146	 U+FF1B
B-A147	 U+FF1A
B-A148	 U+FF1F
B-A149	 U+FF01
B-A14A	 U+FE30
B-A14B	 U+2026
B-A14C	 U+2025
B-A14D	 U+FE50
B-A14E	 U+FE51
B-A14F	 U+FE52
B-A150	 U+00B7
B-A151	 U+FE54
B-A152	 U+FE55
B-A153	 U+FE56
B-A154	 U+FE57
B-A155	 U+FF5C
B-A156	 U+2013
B-A157	 U+FE31
B-A158	 U+2014
B-A159	 U+FE33
B-A15A	 U+2574
B-A15B	 U+FE34
B-A15C	 U+FE4F
B-A15D	 U+FF08
B-A15E	 U+FF09
B-A15F	 U+FE35
B-A160	 U+FE36
B-A161	 U+FF5B
B-A162	 U+FF5D
B-A163	 U+FE37
B-A164	 U+FE38
B-A165	 U+3014
B-A166	 U+3015
B-A167	 U+FE39
B-A168	 U+FE3A
B-A169	 U+3010
B-A16A	 U+3011
B-A16B	 U+FE3B
B-A16C	 U+FE3C
B-A16D	 U+300A
B-A16E	 U+300B
B-A16F	 U+FE3D
B-A170	 U+FE3E
B-A171	 U+3008
B-A172	 U+3009
B-A173	 U+FE3F
B-A174	 U+FE40
B-A175	 U+300C
B-A176	 U+300D
B-A177	 U+FE41
B-A178	 U+FE42
B-A179	 U+300E
B-A17A	 U+300F
B-A17B	 U+FE43
B-A17C	 U+FE44
B-A17D	 U+FE59
B-A17E	 U+FE5A
B-A1A1	 U+FE5B
B-A1A2	 U+FE5C
B-A1A3	 U+FE5D
B-A1A4	 U+FE5E
B-A1A5	 U+2018
B-A1A6	 U+2019
B-A1A7	 U+201C
B-A1A8	 U+201D
B-A1A9	 U+301D
B-A1AA	 U+301E
B-A1AB	 U+2035
B-A1AC	 U+2032
B-A1AD	 U+FF03
B-A1AE	 U+FF06
B-A1AF	 U+FF0A
B-A1B0	 U+203B
B-A1B1	 U+00A7
B-A1B2	 U+3003
B-A1B3	 U+25CB
B-A1B4	 U+25CF
B-A1B5	 U+25B3
B-A1B6	 U+25B2
B-A1B7	 U+25CE
B-A1B8	 U+2606
B-A1B9	 U+2605
B-A1BA	 U+25C7
B-A1BB	 U+25C6
B-A1BC	 U+25A1
B-A1BD	 U+25A0
B-A1BE	 U+25BD
B-A1BF	 U+25BC
B-A1C0	 U+32A3
B-A1C1	 U+2105
B-A1C2	 U+203E
B-A1C3	 U+FFE3
B-A1C4	 U+FF3F
B-A1C5	 U+02CD
B-A1C6	 U+FE49
B-A1C7	 U+FE4A
B-A1C8	 U+FE4D
B-A1C9	 U+FE4E
B-A1CA	 U+FE4B
B-A1CB	 U+FE4C
B-A1CC	 U+FE5F
B-A1CD	 U+FE60
B-A1CE	 U+FE61
B-A1CF	 U+FF0B
B-A1D0	 U+FF0D
B-A1D1	 U+00D7
B-A1D2	 U+00F7
B-A1D3	 U+00B1
B-A1D4	 U+221A
B-A1D5	 U+FF1C
B-A1D6	 U+FF1E
B-A1D7	 U+FF1D
B-A1D8	 U+2266
B-A1D9	 U+2267
B-A1DA	 U+2260
B-A1DB	 U+221E
B-A1DC	 U+2252
B-A1DD	 U+2261
B-A1DE	 U+FE62
B-A1DF	 U+FE63
B-A1E0	 U+FE64
B-A1E1	 U+FE65
B-A1E2	 U+FE66
B-A1E3	BU+FF5E	U+223C
B-A1E4	 U+2229
B-A1E5	 U+222A
B-A1E6	 U+22A5
B-A1E7	 U+2220
B-A1E8	 U+221F
B-A1E9	 U+22BF
B-A1EA	 U+33D2
B-A1EB	 U+33D1
B-A1EC	 U+222B
B-A1ED	 U+222E
B-A1EE	 U+2235
B-A1EF	 U+2234
B-A1F0	 U+2640
B-A1F1	 U+2642
B-A1F2	 U+2295
B-A1F3	 U+2299
B-A1F4	 U+2191
B-A1F5	 U+2193
B-A1F6	 U+2190
B-A1F7	 U+2192
B-A1F8	 U+2196
B-A1F9	 U+2197
B-A1FA	 U+2199
B-A1FB	 U+2198
B-A1FC	 U+2225
B-A1FD	 U+2223
B-A1FE	 U+FF0F
B-A240	 U+FF3C
B-A241	 U+2215
B-A242	 U+FE68
B-A243	 U+FF04
B-A244	 U+FFE5
B-A245	 U+3012
B-A246	 U+FFE0
B-A247	 U+FFE1
B-A248	 U+FF05
B-A249	 U+FF20
B-A24A	 U+2103
B-A24B	 U+2109
B-A24C	 U+FE69
B-A24D	 U+FE6A
B-A24E	 U+FE6B
B-A24F	 U+33D5
B-A250	 U+339C
B-A251	 U+339D
B-A252	 U+339E
B-A253	 U+33CE
B-A254	 U+33A1
B-A255	 U+338E
B-A256	 U+338F
B-A257	 U+33C4
B-A258	 U+00B0
B-A259	 U+5159
B-A25A	 U+515B
B-A25B	 U+515E
B-A25C	 U+515D
B-A25D	 U+5161
B-A25E	 U+5163
B-A25F	 U+55E7
B-A260	 U+74E9
B-A261	 U+7CCE
B-A262	 U+2581
B-A263	 U+2582
B-A264	 U+2583
B-A265	 U+2584
B-A266	 U+2585
B-A267	 U+2586
B-A268	 U+2587
B-A269	 U+2588
B-A26A	 U+258F
B-A26B	 U+258E
B-A26C	 U+258D
B-A26D	 U+258C
B-A26E	 U+258B
B-A26F	 U+258A
B-A270	 U+2589
B-A271	 U+253C
B-A272	 U+2534
B-A273	 U+252C
B-A274	 U+2524
B-A275	 U+251C
B-A276	 U+2594
B-A277	 U+2500
B-A278	 U+2502
B-A279	 U+2595
B-A27A	 U+250C
B-A27B	 U+2510
B-A27C	 U+2514
B-A27D	 U+2518
B-A27E	 U+256D
B-A2A1	 U+256E
B-A2A2	 U+2570
B-A2A3	 U+256F
B-A2A4	 U+2550
B-A2A5	 U+255E
B-A2A6	 U+256A
B-A2A7	 U+2561
B-A2A8	 U+25E2
B-A2A9	 U+25E3
B-A2AA	 U+25E5
B-A2AB	 U+25E4
B-A2AC	 U+2571
B-A2AD	 U+2572
B-A2AE	 U+2573
B-A2AF	 U+FF10
B-A2B0	 U+FF11
B-A2B1	 U+FF12
B-A2B2	 U+FF13
B-A2B3	 U+FF14
B-A2B4	 U+FF15
B-A2B5	 U+FF16
B-A2B6	 U+FF17
B-A2B7	 U+FF18
B-A2B8	 U+FF19
B-A2B9	 U+2160
B-A2BA	 U+2161
B-A2BB	 U+2162
B-A2BC	 U+2163
B-A2BD	 U+2164
B-A2BE	 U+2165
B-A2BF	 U+2166
B-A2C0	 U+2167
B-A2C1	 U+2168
B-A2C2	 U+2169
B-A2C3	 U+3021
B-A2C4	 U+3022
B-A2C5	 U+3023
B-A2C6	 U+3024
B-A2C7	 U+3025
B-A2C8	 U+3026
B-A2C9	 U+3027
B-A2CA	 U+3028
B-A2CB	 U+3029
B-A2CC	 U+3038
B-A2CD	 U+3039
B-A2CE	 U+303A
B-A2CF	 U+FF21
B-A2D0	 U+FF22
B-A2D1	 U+FF23
B-A2D2	 U+FF24
B-A2D3	 U+FF25
B-A2D4	 U+FF26
B-A2D5	 U+FF27
B-A2D6	 U+FF28
B-A2D7	 U+FF29
B-A2D8	 U+FF2A
B-A2D9	 U+FF2B
B-A2DA	 U+FF2C
B-A2DB	 U+FF2D
B-A2DC	 U+FF2E
B-A2DD	 U+FF2F
B-A2DE	 U+FF30
B-A2DF	 U+FF31
B-A2E0	 U+FF32
B-A2E1	 U+FF33
B-A2E2	 U+FF34
B-A2E3	 U+FF35
B-A2E4	 U+FF36
B-A2E5	 U+FF37
B-A2E6	 U+FF38
B-A2E7	 U+FF39
B-A2E8	 U+FF3A
B-A2E9	 U+FF41
B-A2EA	 U+FF42
B-A2EB	 U+FF43
B-A2EC	 U+FF44
B-A2ED	 U+FF45
B-A2EE	 U+FF46
B-A2EF	 U+FF47
B-A2F0	 U+FF48
B-A2F1	 U+FF49
B-A2F2	 U+FF4A
B-A2F3	 U+FF4B
B-A2F4	 U+FF4C
B-A2F5	 U+FF4D
B-A2F6	 U+FF4E
B-A2F7	 U+FF4F
B-A2F8	 U+FF50
B-A2F9	 U+FF51
B-A2FA	 U+FF52
B-A2FB	 U+FF53
B-A2FC	 U+FF54
B-A2FD	 U+FF55
B-A2FE	 U+FF56
B-A340	 U+FF57
B-A341	 U+FF58
B-A342	 U+FF59
B-A343	 U+FF5A
B-A344	 U+0391
B-A345	 U+0392
B-A346	 U+0393
B-A347	 U+0394
B-A348	 U+0395
B-A349	 U+0396
B-A34A	 U+0397
B-A34B	 U+0398
B-A34C	 U+0399
B-A34D	 U+039A
B-A34E	 U+039B
B-A34F	 U+039C
B-A350	 U+039D
B-A351	 U+039E
B-A352	 U+039F
B-A353	 U+03A0
B-A354	 U+03A1
B-A355	 U+03A3
B-A356	 U+03A4
B-A357	 U+03A5
B-A358	 U+03A6
B-A359	 U+03A7
B-A35A	 U+03A8
B-A35B	 U+03A9
B-A35C	 U+03B1
B-A35D	 U+03B2
B-A35E	 U+03B3
B-A35F	 U+03B4
B-A360	 U+03B5
B-A361	 U+03B6
B-A362	 U+03B7
B-A363	 U+03B8
B-A364	 U+03B9
B-A365	 U+03BA
B-A366	 U+03BB
B-A367	 U+03BC
B-A368	 U+03BD
B-A369	 U+03BE
B-A36A	 U+03BF
B-A36B	 U+03C0
B-A36C	 U+03C1
B-A36D	 U+03C3
B-A36E	 U+03C4
B-A36F	 U+03C5
B-A370	 U+03C6
B-A371	 U+03C7
B-A372	 U+03C8
B-A373	 U+03C9
B-A374	 U+3105
B-A375	 U+3106
B-A376	 U+3107
B-A377	 U+3108
B-A378	 U+3109
B-A379	 U+310A
B-A37A	 U+310B
B-A37B	 U+310C
B-A37C	 U+310D
B-A37D	 U+310E
B-A37E	 U+310F
B-A3A1	 U+3110
B-A3A2	 U+3111
B-A3A3	 U+3112
B-A3A4	 U+3113
B-A3A5	 U+3114
B-A3A6	 U+3115
B-A3A7	 U+3116
B-A3A8	 U+3117
B-A3A9	 U+3118
B-A3AA	 U+3119
B-A3AB	 U+311A
B-A3AC	 U+311B
B-A3AD	 U+311C
B-A3AE	 U+311D
B-A3AF	 U+311E
B-A3B0	 U+311F
B-A3B1	 U+3120
B-A3B2	 U+3121
B-A3B3	 U+3122
B-A3B4	 U+3123
B-A3B5	 U+3124
B-A3B6	 U+3125
B-A3B7	 U+3126
B-A3B8	 U+3127
B-A3B9	 U+3128
B-A3BA	 U+3129
B-A3BB	 U+02D9
B-A3BC	 U+02C9
B-A3BD	 U+02CA
B-A3BE	 U+02C7
B-A3BF	 U+02CB
B-A3E1	 U+20AC
B-A440	 U+4E00
B-A441	 U+4E59
B-A442	 U+4E01
B-A443	 U+4E03
B-A444	 U+4E43
B-A445	 U+4E5D
B-A446	 U+4E86
B-A447	 U+4E8C
B-A448	 U+4EBA
B-A449	 U+513F
B-A44A	 U+5165
B-A44B	 U+516B
B-A44C	 U+51E0
B-A44D	 U+5200
B-A44E	 U+5201
B-A44F	 U+529B
B-A450	 U+5315
B-A451	 U+5341
B-A452	 U+535C
B-A453	 U+53C8
B-A454	 U+4E09
B-A455	 U+4E0B
B-A456	 U+4E08
B-A457	 U+4E0A
B-A458	 U+4E2B
B-A459	 U+4E38
B-A45A	 U+51E1
B-A45B	 U+4E45
B-A45C	 U+4E48
B-A45D	 U+4E5F
B-A45E	 U+4E5E
B-A45F	 U+4E8E
B-A460	 U+4EA1
B-A461	 U+5140
B-A462	 U+5203
B-A463	 U+52FA
B-A464	 U+5343
B-A465	 U+53C9
B-A466	 U+53E3
B-A467	 U+571F
B-A468	 U+58EB
B-A469	 U+5915
B-A46A	 U+5927
B-A46B	 U+5973
B-A46C	 U+5B50
B-A46D	 U+5B51
B-A46E	 U+5B53
B-A46F	 U+5BF8
B-A470	 U+5C0F
B-A471	 U+5C22
B-A472	 U+5C38
B-A473	 U+5C71
B-A474	 U+5DDD
B-A475	 U+5DE5
B-A476	 U+5DF1
B-A477	 U+5DF2
B-A478	 U+5DF3
B-A479	 U+5DFE
B-A47A	 U+5E72
B-A47B	 U+5EFE
B-A47C	 U+5F0B
B-A47D	 U+5F13
B-A47E	 U+624D
B-A4A1	 U+4E11
B-A4A2	 U+4E10
B-A4A3	 U+4E0D
B-A4A4	 U+4E2D
B-A4A5	 U+4E30
B-A4A6	 U+4E39
B-A4A7	 U+4E4B
B-A4A8	 U+5C39
B-A4A9	 U+4E88
B-A4AA	 U+4E91
B-A4AB	 U+4E95
B-A4AC	 U+4E92
B-A4AD	 U+4E94
B-A4AE	 U+4EA2
B-A4AF	 U+4EC1
B-A4B0	 U+4EC0
B-A4B1	 U+4EC3
B-A4B2	 U+4EC6
B-A4B3	 U+4EC7
B-A4B4	 U+4ECD
B-A4B5	 U+4ECA
B-A4B6	 U+4ECB
B-A4B7	 U+4EC4
B-A4B8	 U+5143
B-A4B9	 U+5141
B-A4BA	 U+5167
B-A4BB	 U+516D
B-A4BC	 U+516E
B-A4BD	 U+516C
B-A4BE	 U+5197
B-A4BF	 U+51F6
B-A4C0	 U+5206
B-A4C1	 U+5207
B-A4C2	 U+5208
B-A4C3	 U+52FB
B-A4C4	 U+52FE
B-A4C5	 U+52FF
B-A4C6	 U+5316
B-A4C7	 U+5339
B-A4C8	 U+5348
B-A4C9	 U+5347
B-A4CA	 U+5345
B-A4CB	 U+535E
B-A4CC	 U+5384
B-A4CD	 U+53CB
B-A4CE	 U+53CA
B-A4CF	 U+53CD
B-A4D0	 U+58EC
B-A4D1	 U+5929
B-A4D2	 U+592B
B-A4D3	 U+592A
B-A4D4	 U+592D
B-A4D5	 U+5B54
B-A4D6	 U+5C11
B-A4D7	 U+5C24
B-A4D8	 U+5C3A
B-A4D9	 U+5C6F
B-A4DA	 U+5DF4
B-A4DB	 U+5E7B
B-A4DC	 U+5EFF
B-A4DD	 U+5F14
B-A4DE	 U+5F15
B-A4DF	 U+5FC3
B-A4E0	 U+6208
B-A4E1	 U+6236
B-A4E2	 U+624B
B-A4E3	 U+624E
B-A4E4	 U+652F
B-A4E5	 U+6587
B-A4E6	 U+6597
B-A4E7	 U+65A4
B-A4E8	 U+65B9
B-A4E9	 U+65E5
B-A4EA	 U+66F0
B-A4EB	 U+6708
B-A4EC	 U+6728
B-A4ED	 U+6B20
B-A4EE	 U+6B62
B-A4EF	 U+6B79
B-A4F0	 U+6BCB
B-A4F1	 U+6BD4
B-A4F2	 U+6BDB
B-A4F3	 U+6C0F
B-A4F4	 U+6C34
B-A4F5	 U+706B
B-A4F6	 U+722A
B-A4F7	 U+7236
B-A4F8	 U+723B
B-A4F9	 U+7247
B-A4FA	 U+7259
B-A4FB	 U+725B
B-A4FC	 U+72AC
B-A4FD	 U+738B
B-A4FE	 U+4E19
B-A540	 U+4E16
B-A541	 U+4E15
B-A542	 U+4E14
B-A543	 U+4E18
B-A544	 U+4E3B
B-A545	 U+4E4D
B-A546	 U+4E4F
B-A547	 U+4E4E
B-A548	 U+4EE5
B-A549	 U+4ED8
B-A54A	 U+4ED4
B-A54B	 U+4ED5
B-A54C	 U+4ED6
B-A54D	 U+4ED7
B-A54E	 U+4EE3
B-A54F	 U+4EE4
B-A550	 U+4ED9
B-A551	 U+4EDE
B-A552	 U+5145
B-A553	 U+5144
B-A554	 U+5189
B-A555	 U+518A
B-A556	 U+51AC
B-A557	 U+51F9
B-A558	 U+51FA
B-A559	 U+51F8
B-A55A	 U+520A
B-A55B	 U+52A0
B-A55C	 U+529F
B-A55D	 U+5305
B-A55E	 U+5306
B-A55F	 U+5317
B-A560	 U+531D
B-A561	 U+4EDF
B-A562	 U+534A
B-A563	 U+5349
B-A564	 U+5361
B-A565	 U+5360
B-A566	 U+536F
B-A567	 U+536E
B-A568	 U+53BB
B-A569	 U+53EF
B-A56A	 U+53E4
B-A56B	 U+53F3
B-A56C	 U+53EC
B-A56D	 U+53EE
B-A56E	 U+53E9
B-A56F	 U+53E8
B-A570	 U+53FC
B-A571	 U+53F8
B-A572	 U+53F5
B-A573	 U+53EB
B-A574	 U+53E6
B-A575	 U+53EA
B-A576	 U+53F2
B-A577	 U+53F1
B-A578	 U+53F0
B-A579	 U+53E5
B-A57A	 U+53ED
B-A57B	 U+53FB
B-A57C	 U+56DB
B-A57D	 U+56DA
B-A57E	 U+5916
B-A5A1	 U+592E
B-A5A2	 U+5931
B-A5A3	 U+5974
B-A5A4	 U+5976
B-A5A5	 U+5B55
B-A5A6	 U+5B83
B-A5A7	 U+5C3C
B-A5A8	 U+5DE8
B-A5A9	 U+5DE7
B-A5AA	 U+5DE6
B-A5AB	 U+5E02
B-A5AC	 U+5E03
B-A5AD	 U+5E73
B-A5AE	 U+5E7C
B-A5AF	 U+5F01
B-A5B0	 U+5F18
B-A5B1	 U+5F17
B-A5B2	 U+5FC5
B-A5B3	 U+620A
B-A5B4	 U+6253
B-A5B5	 U+6254
B-A5B6	 U+6252
B-A5B7	 U+6251
B-A5B8	 U+65A5
B-A5B9	 U+65E6
B-A5BA	 U+672E
B-A5BB	 U+672C
B-A5BC	 U+672A
B-A5BD	 U+672B
B-A5BE	 U+672D
B-A5BF	 U+6B63
B-A5C0	 U+6BCD
B-A5C1	 U+6C11
B-A5C2	 U+6C10
B-A5C3	 U+6C38
B-A5C4	 U+6C41
B-A5C5	 U+6C40
B-A5C6	 U+6C3E
B-A5C7	 U+72AF
B-A5C8	 U+7384
B-A5C9	 U+7389
B-A5CA	 U+74DC
B-A5CB	 U+74E6
B-A5CC	 U+7518
B-A5CD	 U+751F
B-A5CE	 U+7528
B-A5CF	 U+7529
B-A5D0	 U+7530
B-A5D1	 U+7531
B-A5D2	 U+7532
B-A5D3	 U+7533
B-A5D4	 U+758B
B-A5D5	 U+767D
B-A5D6	 U+76AE
B-A5D7	 U+76BF
B-A5D8	 U+76EE
B-A5D9	 U+77DB
B-A5DA	 U+77E2
B-A5DB	 U+77F3
B-A5DC	 U+793A
B-A5DD	 U+79BE
B-A5DE	 U+7A74
B-A5DF	 U+7ACB
B-A5E0	 U+4E1E
B-A5E1	 U+4E1F
B-A5E2	 U+4E52
B-A5E3	 U+4E53
B-A5E4	 U+4E69
B-A5E5	 U+4E99
B-A5E6	 U+4EA4
B-A5E7	 U+4EA6
B-A5E8	 U+4EA5
B-A5E9	 U+4EFF
B-A5EA	 U+4F09
B-A5EB	 U+4F19
B-A5EC	 U+4F0A
B-A5ED	 U+4F15
B-A5EE	 U+4F0D
B-A5EF	 U+4F10
B-A5F0	 U+4F11
B-A5F1	 U+4F0F
B-A5F2	 U+4EF2
B-A5F3	 U+4EF6
B-A5F4	 U+4EFB
B-A5F5	 U+4EF0
B-A5F6	 U+4EF3
B-A5F7	 U+4EFD
B-A5F8	 U+4F01
B-A5F9	 U+4F0B
B-A5FA	 U+5149
B-A5FB	 U+5147
B-A5FC	 U+5146
B-A5FD	 U+5148
B-A5FE	 U+5168
B-A640	 U+5171
B-A641	 U+518D
B-A642	 U+51B0
B-A643	 U+5217
B-A644	 U+5211
B-A645	 U+5212
B-A646	 U+520E
B-A647	 U+5216
B-A648	 U+52A3
B-A649	 U+5308
B-A64A	 U+5321
B-A64B	 U+5320
B-A64C	 U+5370
B-A64D	 U+5371
B-A64E	 U+5409
B-A64F	 U+540F
B-A650	 U+540C
B-A651	 U+540A
B-A652	 U+5410
B-A653	 U+5401
B-A654	 U+540B
B-A655	 U+5404
B-A656	 U+5411
B-A657	 U+540D
B-A658	 U+5408
B-A659	 U+5403
B-A65A	 U+540E
B-A65B	 U+5406
B-A65C	 U+5412
B-A65D	 U+56E0
B-A65E	 U+56DE
B-A65F	 U+56DD
B-A660	 U+5733
B-A661	 U+5730
B-A662	 U+5728
B-A663	 U+572D
B-A664	 U+572C
B-A665	 U+572F
B-A666	 U+5729
B-A667	 U+5919
B-A668	 U+591A
B-A669	 U+5937
B-A66A	 U+5938
B-A66B	 U+5984
B-A66C	 U+5978
B-A66D	 U+5983
B-A66E	 U+597D
B-A66F	 U+5979
B-A670	 U+5982
B-A671	 U+5981
B-A672	 U+5B57
B-A673	 U+5B58
B-A674	 U+5B87
B-A675	 U+5B88
B-A676	 U+5B85
B-A677	 U+5B89
B-A678	 U+5BFA
B-A679	 U+5C16
B-A67A	 U+5C79
B-A67B	 U+5DDE
B-A67C	 U+5E06
B-A67D	 U+5E76
B-A67E	 U+5E74
B-A6A1	 U+5F0F
B-A6A2	 U+5F1B
B-A6A3	 U+5FD9
B-A6A4	 U+5FD6
B-A6A5	 U+620E
B-A6A6	 U+620C
B-A6A7	 U+620D
B-A6A8	 U+6210
B-A6A9	 U+6263
B-A6AA	 U+625B
B-A6AB	 U+6258
B-A6AC	 U+6536
B-A6AD	 U+65E9
B-A6AE	 U+65E8
B-A6AF	 U+65EC
B-A6B0	 U+65ED
B-A6B1	 U+66F2
B-A6B2	 U+66F3
B-A6B3	 U+6709
B-A6B4	 U+673D
B-A6B5	 U+6734
B-A6B6	 U+6731
B-A6B7	 U+6735
B-A6B8	 U+6B21
B-A6B9	 U+6B64
B-A6BA	 U+6B7B
B-A6BB	 U+6C16
B-A6BC	 U+6C5D
B-A6BD	 U+6C57
B-A6BE	 U+6C59
B-A6BF	 U+6C5F
B-A6C0	 U+6C60
B-A6C1	 U+6C50
B-A6C2	 U+6C55
B-A6C3	 U+6C61
B-A6C4	 U+6C5B
B-A6C5	 U+6C4D
B-A6C6	 U+6C4E
B-A6C7	 U+7070
B-A6C8	 U+725F
B-A6C9	 U+725D
B-A6CA	 U+767E
B-A6CB	 U+7AF9
B-A6CC	 U+7C73
B-A6CD	 U+7CF8
B-A6CE	 U+7F36
B-A6CF	 U+7F8A
B-A6D0	 U+7FBD
B-A6D1	 U+8001
B-A6D2	 U+8003
B-A6D3	 U+800C
B-A6D4	 U+8012
B-A6D5	 U+8033
B-A6D6	 U+807F
B-A6D7	 U+8089
B-A6D8	 U+808B
B-A6D9	 U+808C
B-A6DA	 U+81E3
B-A6DB	 U+81EA
B-A6DC	 U+81F3
B-A6DD	 U+81FC
B-A6DE	 U+820C
B-A6DF	 U+821B
B-A6E0	 U+821F
B-A6E1	 U+826E
B-A6E2	 U+8272
B-A6E3	 U+827E
B-A6E4	 U+866B
B-A6E5	 U+8840
B-A6E6	 U+884C
B-A6E7	 U+8863
B-A6E8	 U+897F
B-A6E9	 U+9621
B-A6EA	 U+4E32
B-A6EB	 U+4EA8
B-A6EC	 U+4F4D
B-A6ED	 U+4F4F
B-A6EE	 U+4F47
B-A6EF	 U+4F57
B-A6F0	 U+4F5E
B-A6F1	 U+4F34
B-A6F2	 U+4F5B
B-A6F3	 U+4F55
B-A6F4	 U+4F30
B-A6F5	 U+4F50
B-A6F6	 U+4F51
B-A6F7	 U+4F3D
B-A6F8	 U+4F3A
B-A6F9	 U+4F38
B-A6FA	 U+4F43
B-A6FB	 U+4F54
B-A6FC	 U+4F3C
B-A6FD	 U+4F46
B-A6FE	 U+4F63
