C1-2121	 U+3000
C1-2122	 U+FF0C
C1-2123	 U+3001
C1-2124	 U+3002
C1-2125	 U+FF0E
C1-2126	 U+2027
C1-2127	 U+FF1B
C1-2128	 U+FF1A
C1-2129	 U+FF1F
C1-212A	 U+FF01
C1-212B	 U+FE30
C1-212C	 U+2026
C1-212D	 U+2025
C1-212E	 U+FE50
C1-212F	 U+FE51
C1-2130	 U+FE52
C1-2131	 U+00B7
C1-2132	 U+FE54
C1-2133	 U+FE55
C1-2134	 U+FE56
C1-2135	 U+FE57
C1-2136	 U+FE31
C1-2137	 U+2014
C1-2138	 U+FE32
C1-2139	 U+2013
C1-213A	 U+FE33
C1-213B	 U+2574
C1-213C	 U+FE34
C1-213D	 U+FE4F
C1-213E	 U+FF08
C1-213F	 U+FF09
C1-2140	 U+FE35
C1-2141	 U+FE36
C1-2142	 U+FF5B
C1-2143	 U+FF5D
C1-2144	 U+FE37
C1-2145	 U+FE38
C1-2146	 U+3014
C1-2147	 U+3015
C1-2148	 U+FE39
C1-2149	 U+FE3A
C1-214A	 U+3010
C1-214B	 U+3011
C1-214C	 U+FE3B
C1-214D	 U+FE3C
C1-214E	 U+300A
C1-214F	 U+300B
C1-2150	 U+FE3D
C1-2151	 U+FE3E
C1-2152	 U+3008
C1-2153	 U+3009
C1-2154	 U+FE3F
C1-2155	 U+FE40
C1-2156	 U+300C
C1-2157	 U+300D
C1-2158	 U+FE41
C1-2159	 U+FE42
C1-215A	 U+300E
C1-215B	 U+300F
C1-215C	 U+FE43
C1-215D	 U+FE44
C1-215E	 U+FE59
C1-215F	 U+FE5A
C1-2160	 U+FE5B
C1-2161	 U+FE5C
C1-2162	 U+FE5D
C1-2163	 U+FE5E
C1-2164	 U+2018
C1-2165	 U+2019
C1-2166	 U+201C
C1-2167	 U+201D
C1-2168	 U+301D
C1-2169	 U+301E
C1-216A	 U+2035
C1-216B	 U+2032
C1-216C	 U+FF03
C1-216D	 U+FF06
C1-216E	 U+FF0A
C1-216F	 U+203B
C1-2170	 U+00A7
C1-2171	 U+3003
C1-2172	 U+25CB
C1-2173	 U+25CF
C1-2174	 U+25B3
C1-2175	 U+25B2
C1-2176	 U+25CE
C1-2177	 U+2606
C1-2178	 U+2605
C1-2179	 U+25C7
C1-217A	 U+25C6
C1-217B	 U+25A1
C1-217C	 U+25A0
C1-217D	 U+25BD
C1-217E	 U+25BC
C1-2221	 U+32A3
C1-2222	 U+2105
C1-2223	 U+203E
C1-2224	 U+FFE3
C1-2225	 U+FF3F
C1-2227	 U+FE49
C1-2228	 U+FE4A
C1-2229	 U+FE4D
C1-222A	 U+FE4E
C1-222B	 U+FE4B
C1-222C	 U+FE4C
C1-222D	 U+FE5F
C1-222E	 U+FE60
C1-222F	 U+FE61
C1-2230	 U+FF0B
C1-2231	 U+FF0D
C1-2232	 U+00D7
C1-2233	 U+00F7
C1-2234	 U+00B1
C1-2235	 U+221A
C1-2236	 U+FF1C
C1-2237	 U+FF1E
C1-2238	 U+FF1D
C1-2239	 U+2266
C1-223A	 U+2267
C1-223B	 U+2260
C1-223C	 U+221E
C1-223D	 U+2252
C1-223E	 U+2261
C1-223F	 U+FE62
C1-2240	 U+FE63
C1-2241	 U+FE64
C1-2242	 U+FE65
C1-2243	 U+FE66
C1-2244	 U+223C
C1-2245	 U+2229
C1-2246	 U+222A
C1-2247	 U+22A5
C1-2248	 U+2220
C1-2249	 U+221F
C1-224A	 U+22BF
C1-224B	 U+33D2
C1-224C	 U+33D1
C1-224D	 U+222B
C1-224E	 U+222E
C1-224F	 U+2235
C1-2250	 U+2234
C1-2251	 U+2640
C1-2252	 U+2642
C1-2253	 U+2295
C1-2254	 U+2299
C1-2255	 U+2191
C1-2256	 U+2193
C1-2257	 U+2192
C1-2258	 U+2190
C1-2259	 U+2196
C1-225A	 U+2197
C1-225B	 U+2199
C1-225C	 U+2198
C1-225D	 U+2016
C1-225E	 U+FF5C
C1-225F	 U+FF0F
C1-2260	 U+FF3C
C1-2261	 U+2215
C1-2262	 U+FE68
C1-2263	 U+FF04
C1-2264	 U+FFE5
C1-2265	 U+3012
C1-2266	 U+FFE0
C1-2267	 U+FFE1
C1-2268	 U+FF05
C1-2269	 U+FF20
C1-226A	 U+2103
C1-226B	 U+2109
C1-226C	 U+FE69
C1-226D	 U+FE6A
C1-226E	 U+FE6B
C1-226F	 U+33D5
C1-2270	 U+339C
C1-2271	 U+339D
C1-2272	 U+339E
C1-2273	 U+33CE
C1-2274	 U+33A1
C1-2275	 U+338E
C1-2276	 U+338F
C1-2277	 U+33C4
C1-2278	 U+00B0
C1-2279	 U+5159
C1-227A	 U+515B
C1-227B	 U+515E
C1-227C	 U+515D
C1-227D	 U+5161
C1-227E	 U+5163
C1-2321	 U+55E7
C1-2322	 U+74E9
C1-2323	 U+7CCE
C1-2324	 U+2581
C1-2325	 U+2582
C1-2326	 U+2583
C1-2327	 U+2584
C1-2328	 U+2585
C1-2329	 U+2586
C1-232A	 U+2587
C1-232B	 U+2588
C1-232C	 U+258F
C1-232D	 U+258E
C1-232E	 U+258D
C1-232F	 U+258C
C1-2330	 U+258B
C1-2331	 U+258A
C1-2332	 U+2589
C1-2333	 U+253C
C1-2334	 U+2534
C1-2335	 U+252C
C1-2336	 U+2524
C1-2337	 U+251C
C1-2338	 U+2594
C1-2339	 U+2500
C1-233A	 U+2502
C1-233B	 U+2595
C1-233C	 U+250C
C1-233D	 U+2510
C1-233E	 U+2514
C1-233F	 U+2518
C1-2340	 U+256D
C1-2341	 U+256E
C1-2342	 U+2570
C1-2343	 U+256F
C1-2344	 U+2550
C1-2345	 U+255E
C1-2346	 U+256A
C1-2347	 U+2561
C1-2348	 U+25E2
C1-2349	 U+25E3
C1-234A	 U+25E5
C1-234B	 U+25E4
C1-234C	 U+2571
C1-234D	 U+2572
C1-234E	 U+2573
C1-2421	 U+FF10
C1-2422	 U+FF11
C1-2423	 U+FF12
C1-2424	 U+FF13
C1-2425	 U+FF14
C1-2426	 U+FF15
C1-2427	 U+FF16
C1-2428	 U+FF17
C1-2429	 U+FF18
C1-242A	 U+FF19
C1-242B	 U+2160
C1-242C	 U+2161
C1-242D	 U+2162
C1-242E	 U+2163
C1-242F	 U+2164
C1-2430	 U+2165
C1-2431	 U+2166
C1-2432	 U+2167
C1-2433	 U+2168
C1-2434	 U+2169
C1-2435	 U+3021
C1-2436	 U+3022
C1-2437	 U+3023
C1-2438	 U+3024
C1-2439	 U+3025
C1-243A	 U+3026
C1-243B	 U+3027
C1-243C	 U+3028
C1-243D	 U+3029
C1-243F	 U+5344
C1-2441	 U+FF21
C1-2442	 U+FF22
C1-2443	 U+FF23
C1-2444	 U+FF24
C1-2445	 U+FF25
C1-2446	 U+FF26
C1-2447	 U+FF27
C1-2448	 U+FF28
C1-2449	 U+FF29
C1-244A	 U+FF2A
C1-244B	 U+FF2B
C1-244C	 U+FF2C
C1-244D	 U+FF2D
C1-244E	 U+FF2E
C1-244F	 U+FF2F
C1-2450	 U+FF30
C1-2451	 U+FF31
C1-2452	 U+FF32
C1-2453	 U+FF33
C1-2454	 U+FF34
C1-2455	 U+FF35
C1-2456	 U+FF36
C1-2457	 U+FF37
C1-2458	 U+FF38
C1-2459	 U+FF39
C1-245A	 U+FF3A
C1-245B	 U+FF41
C1-245C	 U+FF42
C1-245D	 U+FF43
C1-245E	 U+FF44
C1-245F	 U+FF45
C1-2460	 U+FF46
C1-2461	 U+FF47
C1-2462	 U+FF48
C1-2463	 U+FF49
C1-2464	 U+FF4A
C1-2465	 U+FF4B
C1-2466	 U+FF4C
C1-2467	 U+FF4D
C1-2468	 U+FF4E
C1-2469	 U+FF4F
C1-246A	 U+FF50
C1-246B	 U+FF51
C1-246C	 U+FF52
C1-246D	 U+FF53
C1-246E	 U+FF54
C1-246F	 U+FF55
C1-2470	 U+FF56
C1-2471	 U+FF57
C1-2472	 U+FF58
C1-2473	 U+FF59
C1-2474	 U+FF5A
C1-2475	 U+0391
C1-2476	 U+0392
C1-2477	 U+0393
C1-2478	 U+0394
C1-2479	 U+0395
C1-247A	 U+0396
C1-247B	 U+0397
C1-247C	 U+0398
C1-247D	 U+0399
C1-247E	 U+039A
C1-2521	 U+039B
C1-2522	 U+039C
C1-2523	 U+039D
C1-2524	 U+039E
C1-2525	 U+039F
C1-2526	 U+03A0
C1-2527	 U+03A1
C1-2528	 U+03A3
C1-2529	 U+03A4
C1-252A	 U+03A5
C1-252B	 U+03A6
C1-252C	 U+03A7
C1-252D	 U+03A8
C1-252E	 U+03A9
C1-252F	 U+03B1
C1-2530	 U+03B2
C1-2531	 U+03B3
C1-2532	 U+03B4
C1-2533	 U+03B5
C1-2534	 U+03B6
C1-2535	 U+03B7
C1-2536	 U+03B8
C1-2537	 U+03B9
C1-2538	 U+03BA
C1-2539	 U+03BB
C1-253A	 U+03BC
C1-253B	 U+03BD
C1-253C	 U+03BE
C1-253D	 U+03BF
C1-253E	 U+03C0
C1-253F	 U+03C1
C1-2540	 U+03C3
C1-2541	 U+03C4
C1-2542	 U+03C5
C1-2543	 U+03C6
C1-2544	 U+03C7
C1-2545	 U+03C8
C1-2546	 U+03C9
C1-2547	 U+3105
C1-2548	 U+3106
C1-2549	 U+3107
C1-254A	 U+3108
C1-254B	 U+3109
C1-254C	 U+310A
C1-254D	 U+310B
C1-254E	 U+310C
C1-254F	 U+310D
C1-2550	 U+310E
C1-2551	 U+310F
C1-2552	 U+3110
C1-2553	 U+3111
C1-2554	 U+3112
C1-2555	 U+3113
C1-2556	 U+3114
C1-2557	 U+3115
C1-2558	 U+3116
C1-2559	 U+3117
C1-255A	 U+3118
C1-255B	 U+3119
C1-255C	 U+311A
C1-255D	 U+311B
C1-255E	 U+311C
C1-255F	 U+311D
C1-2560	 U+311E
C1-2561	 U+311F
C1-2562	 U+3120
C1-2563	 U+3121
C1-2564	 U+3122
C1-2565	 U+3123
C1-2566	 U+3124
C1-2567	 U+3125
C1-2568	 U+3126
C1-2569	 U+3127
C1-256A	 U+3128
C1-256B	 U+3129
C1-256C	 U+02D9
C1-256D	 U+02C9
C1-256E	 U+02CA
C1-256F	 U+02C7
C1-2570	 U+02CB
C1-2621	 U+2460
C1-2622	 U+2461
C1-2623	 U+2462
C1-2624	 U+2463
C1-2625	 U+2464
C1-2626	 U+2465
C1-2627	 U+2466
C1-2628	 U+2467
C1-2629	 U+2468
C1-262A	 U+2469
C1-262B	 U+2474
C1-262C	 U+2475
C1-262D	 U+2476
C1-262E	 U+2477
C1-262F	 U+2478
C1-2630	 U+2479
C1-2631	 U+247A
C1-2632	 U+247B
C1-2633	 U+247C
C1-2634	 U+247D
C1-2635	 U+2170
C1-2636	 U+2171
C1-2637	 U+2172
C1-2638	 U+2173
C1-2639	 U+2174
C1-263A	 U+2175
C1-263B	 U+2176
C1-263C	 U+2177
C1-263D	 U+2178
C1-263E	 U+2179
C1-4221	 U+2400
C1-4222	 U+2401
