C2-2121	 U+4E42
C2-2122	 U+4E5C
C2-2123	 U+51F5
C2-2124	 U+531A
C2-2125	 U+5382
C2-2126	 U+4E07
C2-2127	 U+4E0C
C2-2128	 U+4E47
C2-2129	 U+4E8D
C2-212A	 U+56D7
C2-212B	 U+5C6E
C2-212C	 U+5F73
C2-212D	 U+4E0F
C2-212E	 U+5187
C2-212F	 U+4E0E
C2-2130	 U+4E2E
C2-2131	 U+4E93
C2-2132	 U+4EC2
C2-2133	 U+4EC9
C2-2134	 U+4EC8
C2-2135	 U+5198
C2-2136	 U+52FC
C2-2137	 U+536C
C2-2138	 U+53B9
C2-2139	 U+5720
C2-213A	 U+5903
C2-213B	 U+592C
C2-213C	 U+5C10
C2-213D	 U+5DFF
C2-213E	 U+65E1
C2-213F	 U+6BB3
C2-2140	 U+6BCC
C2-2141	 U+6C14
C2-2142	 U+723F
C2-2143	 U+4E31
C2-2144	 U+4E3C
C2-2145	 U+4EE8
C2-2146	 U+4EDC
C2-2147	 U+4EE9
C2-2148	 U+4EE1
C2-2149	 U+4EDD
C2-214A	 U+4EDA
C2-214B	 U+520C
C2-214C	 U+5209
C2-214D	 U+531C
C2-214E	 U+534C
C2-214F	 U+5722
C2-2150	 U+5723
C2-2151	 U+5917
C2-2152	 U+592F
C2-2153	 U+5B81
C2-2154	 U+5B84
C2-2155	 U+5C12
C2-2156	 U+5C3B
C2-2157	 U+5C74
C2-2158	 U+5C73
C2-2159	 U+5E04
C2-215A	 U+5E80
C2-215B	 U+5E82
C2-215C	 U+5FC9
C2-215D	 U+6209
C2-215E	 U+6250
C2-215F	 U+6C15
C2-2160	 U+6C36
C2-2161	 U+6C43
C2-2162	 U+6C3F
C2-2163	 U+6C3B
C2-2164	 U+72AE
C2-2165	 U+72B0
C2-2166	 U+738A
C2-2167	 U+79B8
C2-2168	 U+808A
C2-2169	 U+961E
C2-216A	 U+4F0E
C2-216B	 U+4F18
C2-216C	 U+4F2C
C2-216D	 U+4EF5
C2-216E	 U+4F14
C2-216F	 U+4EF1
C2-2170	 U+4F00
C2-2171	 U+4EF7
C2-2172	 U+4F08
C2-2173	 U+4F1D
C2-2174	 U+4F02
C2-2175	 U+4F05
C2-2176	 U+4F22
C2-2177	 U+4F13
C2-2178	 U+4F04
C2-2179	 U+4EF4
C2-217A	 U+4F12
C2-217B	 U+51B1
C2-217C	 U+5213
C2-217D	 U+5210
C2-217E	 U+52A6
C2-2221	 U+5322
C2-2222	 U+531F
C2-2223	 U+534D
C2-2224	 U+538A
C2-2225	 U+5407
C2-2226	 U+56E1
C2-2227	 U+56DF
C2-2228	 U+572E
C2-2229	 U+572A
C2-222A	 U+5734
C2-222B	 U+593C
C2-222C	 U+5980
C2-222D	 U+597C
C2-222E	 U+5985
C2-222F	 U+597B
C2-2230	 U+597E
C2-2231	 U+5977
C2-2232	 U+597F
C2-2233	 U+5B56
C2-2234	 U+5C15
C2-2235	 U+5C25
C2-2236	 U+5C7C
C2-2237	 U+5C7A
C2-2238	 U+5C7B
C2-2239	 U+5C7E
C2-223A	 U+5DDF
C2-223B	 U+5E75
C2-223C	 U+5E84
C2-223D	 U+5F02
C2-223E	 U+5F1A
C2-223F	 U+5F74
C2-2240	 U+5FD5
C2-2241	 U+5FD4
C2-2242	 U+5FCF
C2-2243	 U+625C
C2-2244	 U+625E
C2-2245	 U+6264
C2-2246	 U+6261
C2-2247	 U+6266
C2-2248	 U+6262
C2-2249	 U+6259
C2-224A	 U+6260
