G0-2121	 U+3000
G0-2122	 U+3001
G0-2123	 U+3002
G0-2124	 U+30FB
G0-2125	 U+02C9
G0-2126	 U+02C7
G0-2127	 U+00A8
G0-2128	 U+3003
G0-2129	 U+3005
G0-212A	 U+2015
G0-212B	 U+FF5E
G0-212C	 U+2016
G0-212D	 U+2026
G0-212E	 U+2018
G0-212F	 U+2019
G0-2130	 U+201C
G0-2131	 U+201D
G0-2132	 U+3014
G0-2133	 U+3015
G0-2134	 U+3008
G0-2135	 U+3009
G0-2136	 U+300A
G0-2137	 U+300B
G0-2138	 U+300C
G0-2139	 U+300D
G0-213A	 U+300E
G0-213B	 U+300F
G0-213C	 U+3016
G0-213D	 U+3017
G0-213E	 U+3010
G0-213F	 U+3011
G0-2140	 U+00B1
G0-2141	 U+00D7
G0-2142	 U+00F7
G0-2143	 U+2236
G0-2144	 U+2227
G0-2145	 U+2228
G0-2146	 U+2211
G0-2147	 U+220F
G0-2148	 U+222A
G0-2149	 U+2229
G0-214A	 U+2208
G0-214B	 U+2237
G0-214C	 U+221A
G0-214D	 U+22A5
G0-214E	 U+2225
G0-214F	 U+2220
G0-2150	 U+2312
G0-2151	 U+2299
G0-2152	 U+222B
G0-2153	 U+222E
G0-2154	 U+2261
G0-2155	 U+224C
G0-2156	 U+2248
G0-2157	 U+223D
G0-2158	 U+221D
G0-2159	 U+2260
G0-215A	 U+226E
G0-215B	 U+226F
G0-215C	 U+2264
G0-215D	 U+2265
G0-215E	 U+221E
G0-215F	 U+2235
G0-2160	 U+2234
G0-2161	 U+2642
G0-2162	 U+2640
G0-2163	 U+00B0
G0-2164	 U+2032
G0-2165	 U+2033
G0-2166	 U+2103
G0-2167	 U+FF04
G0-2168	 U+00A4
G0-2169	 U+FFE0
G0-216A	 U+FFE1
G0-216B	 U+2030
G0-216C	 U+00A7
G0-216D	 U+2116
G0-216E	 U+2606
G0-216F	 U+2605
G0-2170	 U+25CB
G0-2171	 U+25CF
G0-2172	 U+25CE
G0-2173	 U+25C7
G0-2174	 U+25C6
G0-2175	 U+25A1
G0-2176	 U+25A0
G0-2177	 U+25B3
G0-2178	 U+25B2
G0-2179	 U+203B
G0-217A	 U+2192
G0-217B	 U+2190
G0-217C	 U+2191
G0-217D	 U+2193
G0-217E	 U+3013
G0-2231	 U+2488
G0-2232	 U+2489
G0-2233	 U+248A
G0-2234	 U+248B
G0-2235	 U+248C
G0-2236	 U+248D
G0-2237	 U+248E
G0-2238	 U+248F
G0-2239	 U+2490
G0-223A	 U+2491
G0-223B	 U+2492
G0-223C	 U+2493
G0-223D	 U+2494
G0-223E	 U+2495
G0-223F	 U+2496
G0-2240	 U+2497
G0-2241	 U+2498
G0-2242	 U+2499
G0-2243	 U+249A
G0-2244	 U+249B
G0-2245	 U+2474
G0-2246	 U+2475
G0-2247	 U+2476
G0-2248	 U+2477
G0-2249	 U+2478
G0-224A	 U+2479
G0-224B	 U+247A
G0-224C	 U+247B
G0-224D	 U+247C
G0-224E	 U+247D
G0-224F	 U+247E
G0-2250	 U+247F
G0-2251	 U+2480
G0-2252	 U+2481
G0-2253	 U+2482
G0-2254	 U+2483
G0-2255	 U+2484
G0-2256	 U+2485
G0-2257	 U+2486
G0-2258	 U+2487
G0-2259	 U+2460
G0-225A	 U+2461
G0-225B	 U+2462
G0-225C	 U+2463
