GTps-01-88EA	GT-K00001
GTps-k1-88B2	GT-K00002
GTps-k1-88B1	GT-K00003
GTps-k1-88BE	GT-K00004
GTps-01-89B3	GT-K00005
GTps-02-8961	GT-K00006
GTps-k1-88AB	GT-K00007
GTps-k1-88AC	GT-K00008
GTps-02-88F3	GT-K00009
GTps-01-98A4	GT-K00010
GTps-k1-88C7	GT-K00011
GTps-k1-88B5	GT-K00012
GTps-01-98A6	GT-K00013
GTps-k1-88B0	GT-K00014
GTps-01-98AB	GT-K00015
GTps-02-88D1	GT-K00016
GTps-k1-88A0	GT-K00017
GTps-k1-88A2	GT-K00018
GTps-k1-88B3	GT-K00019
GTps-k1-88A3	GT-K00020
GTps-k1-88A5	GT-K00021
GTps-k1-88A4	GT-K00022
GTps-11-9248	GT-K00023
GTps-k1-88A6	GT-K00024
GTps-k1-88AF	GT-K00025
GTps-k1-88BF	GT-K00026
GTps-k1-88A8	GT-K00027
GTps-02-8962	GT-K00028
GTps-k1-88B8	GT-K00029
GTps-k1-88C5	GT-K00030
GTps-k1-88AD	GT-K00031
GTps-k1-88B4	GT-K00032
GTps-k1-88C6	GT-K00033
GTps-k1-88AA	GT-K00034
GTps-k1-88B6	GT-K00035
GTps-k1-88B7	GT-K00036
GTps-k1-88B9	GT-K00037
GTps-k1-88BA	GT-K00038
GTps-k1-88BD	GT-K00039
GTps-k1-88BB	GT-K00040
GTps-k1-88BC	GT-K00041
GTps-k1-88C1	GT-K00042
GTps-02-8998	GT-K00043
GTps-02-8964	GT-K00044
GTps-01-8BE3	GT-K00045
GTps-01-8EB5	GT-K00046
GTps-01-8F5C	GT-K00047
GTps-01-906C	GT-K00048
GTps-k1-8A76	GT-K00049
GTps-01-93FC	GT-K00050
GTps-01-929A	GT-K00051
GTps-02-88A3	GT-K00052
GTps-01-9381	GT-K00053
GTps-01-93F1	GT-K00054
GTps-01-9454	GT-K00055
GTps-01-94AA	GT-K00056
GTps-09-976B	GT-K00057
GTps-k1-8ED1	GT-K00058
GTps-k1-8C88	GT-K00059
GTps-01-966D	GT-K00060
GTps-k1-8BEF	GT-K00061
GTps-k1-8F6C	GT-K00062
GTps-01-9694	GT-K00063
GTps-k1-8AD8	GT-K00064
GTps-k1-8F74	GT-K00065
GTps-01-97B9	GT-K00066
GTps-01-97CD	GT-K00067
GTps-k1-EA7B	GT-K00068
GTps-02-88D2	GT-K00069
GTps-02-88F6	GT-K00070
GTps-k1-E1CC	GT-K00071
GTps-01-98A7	GT-K00072
GTps-01-98B3	GT-K00073
GTps-02-89C5	GT-K00074
GTps-02-88A2	GT-K00075
GTps-01-9958	GT-K00076
GTps-k1-8C98	GT-K00077
GTps-01-9963	GT-K00078
GTps-k1-8F8D	GT-K00079
GTps-01-996B	GT-K00080
GTps-01-9971	GT-K00081
GTps-k1-8A54	GT-K00082
GTps-k1-8E98	GT-K00083
GTps-01-997B	GT-K00084
GTps-k1-8CC5	GT-K00085
GTps-09-98DB	GT-K00086
GTps-01-9981	GT-K00087
GTps-01-99AF	GT-K00088
GTps-k1-8F8E	GT-K00089
GTps-k2-89D8	GT-K00090
GTps-k1-89B2	GT-K00091
GTps-01-99B6	GT-K00092
GTps-k1-8B4B	GT-K00093
GTps-k1-8DA5	GT-K00094
GTps-02-8965	GT-K00095
GTps-01-99BC	GT-K00096
GTps-01-99B7	GT-K00097
GTps-k1-8CDE	GT-K00098
GTps-01-99C5	GT-K00099
GTps-k1-8FCD	GT-K00100
GTps-k1-8B90	GT-K00101
GTps-01-99CA	GT-K00102
GTps-02-88F2	GT-K00103
GTps-02-88F5	GT-K00104
GTps-k1-8971	GT-K00105
GTps-k2-91BD	GT-K00106
GTps-02-88F7	GT-K00107
GTps-02-8966	GT-K00108
GTps-k2-9263	GT-K00109
GTps-02-90AB	GT-K00110
GTps-k2-95DF	GT-K00111
GTps-k1-8D57	GT-K00112
GTps-k1-8AC6	GT-K00113
GTps-k2-89EF	GT-K00114
GTps-k1-8972	GT-K00115
GTps-k1-8E53	GT-K00116
GTps-02-899A	GT-K00117
GTps-k1-8CFB	GT-K00118
GTps-k1-89C1	GT-K00119
GTps-k1-8BD2	GT-K00120
GTps-k1-99D9	GT-K00121
GTps-k1-9D4E	GT-K00122
GTps-k1-91F5	GT-K00123
GTps-k1-967D	GT-K00124
GTps-k1-E1AF	GT-K00125
GTps-k1-9576	GT-K00126
GTps-k1-8A85	GT-K00127
GTps-02-90AA	GT-K00128
GTps-k1-E2AC	GT-K00129
GTps-k2-89AA	GT-K00130
GTps-k1-8FB0	GT-K00131
GTps-k1-8D4E	GT-K00132
GTps-k1-8A84	GT-K00133
GTps-k1-9E7C	GT-K00134
GTps-k1-8FB8	GT-K00135
GTps-k2-8CB1	GT-K00136
GTps-k1-8BA7	GT-K00137
GTps-k1-8BE7	GT-K00138
GTps-k1-E264	GT-K00139
GTps-k2-8CB0	GT-K00140
GTps-09-976C	GT-K00141
GTps-k1-8C43	GT-K00142
GTps-k1-8F8C	GT-K00143
GTps-k1-E289	GT-K00144
GTps-k1-E96B	GT-K00145
GTps-k1-8D52	GT-K00146
GTps-k1-8B4F	GT-K00147
GTps-k1-93B7	GT-K00148
GTps-k1-89B4	GT-K00149
GTps-k1-89C7	GT-K00150
GTps-k1-91A7	GT-K00151
GTps-k1-8C9A	GT-K00152
GTps-k2-90E7	GT-K00153
GTps-k1-94E1	GT-K00154
GTps-02-89AB	GT-K00155
GTps-02-89AC	GT-K00156
GTps-k1-8C95	GT-K00157
GTps-03-8F94	GT-K00158
GTps-01-89BA	GT-K00159
GTps-01-8AB1	GT-K00160
GTps-01-8ADB	GT-K00161
GTps-02-88E8	GT-K00162
GTps-k1-99DB	GT-K00163
GTps-01-8B76	GT-K00164
GTps-01-8B7C	GT-K00165
GTps-01-8BD0	GT-K00166
GTps-01-8CC8	GT-K00167
GTps-01-9BDF	GT-K00168
GTps-01-96A4	GT-K00169
GTps-01-8CEE	GT-K00170
GTps-01-8CFB	GT-K00171
GTps-01-8D48	GT-K00172
GTps-k1-8AF2	GT-K00173
GTps-k1-8A6C	GT-K00174
GTps-01-8DCB	GT-K00175
GTps-09-95A9	GT-K00176
GTps-01-8E4F	GT-K00177
GTps-01-8E6D	GT-K00178
GTps-01-8E71	GT-K00179
GTps-01-9B72	GT-K00180
GTps-02-E944	GT-K00181
GTps-k1-8DC0	GT-K00182
GTps-01-8ED9	GT-K00183
GTps-02-93B2	GT-K00184
GTps-01-8F97	GT-K00185
GTps-01-8FAC	GT-K00186
GTps-04-9147	GT-K00187
GTps-01-8FE3	GT-K00188
GTps-02-88A5	GT-K00189
GTps-k1-8CE0	GT-K00190
GTps-01-90A1	GT-K00191
GTps-01-90E7	GT-K00192
GTps-01-90EC	GT-K00193
GTps-k1-8F79	GT-K00194
GTps-k1-9471	GT-K00195
GTps-01-91E5	GT-K00196
GTps-k1-8AE0	GT-K00197
GTps-01-9379	GT-K00198
GTps-k1-8B41	GT-K00199
GTps-01-9456	GT-K00200
GTps-01-9653	GT-K00201
GTps-k1-8A62	GT-K00202
GTps-01-967D	GT-K00203
GTps-01-969C	GT-K00204
GTps-01-96E7	GT-K00205
GTps-01-975B	GT-K00206
GTps-k2-95DA	GT-K00207
GTps-01-975E	GT-K00208
GTps-01-98A2	GT-K00209
GTps-01-98B0	GT-K00210
GTps-01-9959	GT-K00211
GTps-k1-8C97	GT-K00212
GTps-01-9983	GT-K00213
GTps-01-906E	GT-K00214
GTps-02-90AC	GT-K00215
GTps-01-9A98	GT-K00216
GTps-01-9AE7	GT-K00217
GTps-k1-89E0	GT-K00218
GTps-01-9B7E	GT-K00219
GTps-01-9B97	GT-K00220
GTps-k1-967A	GT-K00221
GTps-k1-8F78	GT-K00222
GTps-01-9B99	GT-K00223
GTps-01-9BDD	GT-K00224
GTps-01-9BF4	GT-K00225
GTps-k1-8ABB	GT-K00226
GTps-01-9BF6	GT-K00227
GTps-k2-947D	GT-K00228
GTps-k2-947C	GT-K00229
GTps-01-9C4D	GT-K00230
GTps-01-9C4F	GT-K00231
GTps-01-9C54	GT-K00232
GTps-k1-8A68	GT-K00233
GTps-01-9C5F	GT-K00234
GTps-01-9C63	GT-K00235
GTps-01-9C65	GT-K00236
GTps-02-88FA	GT-K00237
GTps-k1-9159	GT-K00238
GTps-k1-9940	GT-K00239
GTps-k1-8BC8	GT-K00240
GTps-k1-E0F1	GT-K00241
GTps-02-88FB	GT-K00242
GTps-k1-9172	GT-K00243
GTps-k1-E048	GT-K00244
GTps-02-8941	GT-K00245
GTps-02-8EB5	GT-K00246
GTps-k1-8A6E	GT-K00247
GTps-02-8ED5	GT-K00248
GTps-02-9050	GT-K00249
GTps-02-94AD	GT-K00250
GTps-k1-8983	GT-K00251
GTps-k1-8DA4	GT-K00252
GTps-02-94F0	GT-K00253
GTps-02-96B5	GT-K00254
GTps-k1-E691	GT-K00255
GTps-01-8DB3	GT-K00256
GTps-01-8B79	GT-K00257
GTps-03-8B6D	GT-K00258
GTps-04-9568	GT-K00259
GTps-k1-88EC	GT-K00260
GTps-k1-89C8	GT-K00261
GTps-k1-8C91	GT-K00262
GTps-k1-8A75	GT-K00263
GTps-k1-8C84	GT-K00264
GTps-10-8F7E	GT-K00265
GTps-k1-8BE1	GT-K00266
GTps-k1-8D94	GT-K00267
GTps-03-959A	GT-K00268
GTps-k1-8DED	GT-K00269
GTps-01-9BA3	GT-K00270
GTps-01-8E52	GT-K00271
GTps-k1-8EB2	GT-K00272
GTps-02-967B	GT-K00273
GTps-k1-88D5	GT-K00274
GTps-k1-91F6	GT-K00275
GTps-k1-89A1	GT-K00276
GTps-k1-9DDC	GT-K00277
GTps-k1-8B93	GT-K00278
GTps-09-9866	GT-K00279
GTps-02-88AA	GT-K00280
GTps-k2-9288	GT-K00281
GTps-02-88EA	GT-K00282
GTps-k1-E690	GT-K00283
