GTps-k1-E74A	GT-K03001
GTps-k1-9B64	GT-K03002
GTps-k2-89A5	GT-K03003
GTps-09-8DEA	GT-K03004
GTps-k1-8D5F	GT-K03005
GTps-k1-E7F5	GT-K03006
GTps-k2-9376	GT-K03007
GTps-k1-9DE2	GT-K03008
GTps-04-9DC1	GT-K03009
GTps-k1-E8C0	GT-K03010
GTps-k2-90EF	GT-K03011
GTps-k1-9482	GT-K03012
GTps-k2-93F2	GT-K03013
GTps-k2-945E	GT-K03014
GTps-k2-8994	GT-K03015
GTps-02-89B9	GT-K03016
GTps-k1-E7F7	GT-K03017
GTps-k1-9DE7	GT-K03018
GTps-k1-8CB5	GT-K03019
GTps-03-E7BE	GT-K03020
GTps-k1-896C	GT-K03021
GTps-03-E7C8	GT-K03022
GTps-03-EA60	GT-K03023
GTps-02-E4F6	GT-K03024
GTps-k1-8FBD	GT-K03025
GTps-03-E7BF	GT-K03026
GTps-k2-90F5	GT-K03027
GTps-02-9F7C	GT-K03028
GTps-11-96A5	GT-K03029
GTps-k2-8CB9	GT-K03030
GTps-03-8FA0	GT-K03031
GTps-k1-E05B	GT-K03032
GTps-k1-8CEA	GT-K03033
GTps-k1-93EB	GT-K03034
GTps-02-8EC5	GT-K03035
GTps-k2-91B8	GT-K03036
GTps-05-8EA7	GT-K03037
GTps-05-8EA6	GT-K03038
GTps-05-8EA9	GT-K03039
GTps-02-8EE0	GT-K03040
GTps-05-8EA8	GT-K03041
GTps-k2-9046	GT-K03042
GTps-k1-E5C7	GT-K03043
GTps-02-9F92	GT-K03044
GTps-k1-9E4B	GT-K03045
GTps-k1-9259	GT-K03046
GTps-03-95D6	GT-K03047
GTps-k2-90EC	GT-K03048
GTps-k1-9E4D	GT-K03049
GTps-k1-9E4C	GT-K03050
GTps-k1-97BC	GT-K03051
GTps-k1-E7AC	GT-K03052
GTps-k1-E74B	GT-K03053
GTps-02-E2E0	GT-K03054
GTps-k1-E69B	GT-K03055
GTps-k1-92FA	GT-K03056
GTps-k1-9DB5	GT-K03057
GTps-k1-E7AF	GT-K03058
GTps-k1-919D	GT-K03059
GTps-k1-9EF7	GT-K03060
GTps-k1-9485	GT-K03061
GTps-k1-93EC	GT-K03062
GTps-k2-95D3	GT-K03063
GTps-k1-958E	GT-K03064
GTps-k2-8ABF	GT-K03065
GTps-k2-8CBC	GT-K03066
GTps-k2-8BD4	GT-K03067
GTps-k1-9C7D	GT-K03068
GTps-k1-E8C2	GT-K03069
GTps-02-97D3	GT-K03070
GTps-03-8BE5	GT-K03071
GTps-k1-E8BB	GT-K03072
GTps-k1-9598	GT-K03073
GTps-k1-9168	GT-K03074
GTps-05-89F4	GT-K03075
GTps-k1-9FBF	GT-K03076
GTps-k2-93E4	GT-K03077
GTps-k1-9F62	GT-K03078
GTps-k1-9B94	GT-K03079
GTps-k1-E892	GT-K03080
GTps-k2-949C	GT-K03081
GTps-k2-92AE	GT-K03082
GTps-k2-89AD	GT-K03083
GTps-k2-88BB	GT-K03084
GTps-k1-E1E7	GT-K03085
GTps-k2-91A9	GT-K03086
GTps-k1-9347	GT-K03087
GTps-k1-97E4	GT-K03088
GTps-k1-919F	GT-K03089
GTps-k2-916A	GT-K03090
GTps-03-89EA	GT-K03091
GTps-k1-E49D	GT-K03092
GTps-02-8EC3	GT-K03093
GTps-k1-9192	GT-K03094
GTps-k2-959D	GT-K03095
GTps-k2-95F2	GT-K03096
GTps-k2-948F	GT-K03097
GTps-k1-8FE7	GT-K03098
GTps-k1-9DE8	GT-K03099
GTps-06-91A3	GT-K03100
GTps-k1-E1E6	GT-K03101
GTps-k2-94AC	GT-K03102
GTps-05-90BE	GT-K03103
GTps-k2-8E47	GT-K03104
GTps-k1-9D85	GT-K03105
GTps-k1-E1E5	GT-K03106
GTps-k1-E375	GT-K03107
GTps-02-945E	GT-K03108
GTps-k2-88CF	GT-K03109
GTps-k1-E7AD	GT-K03110
GTps-k1-98C7	GT-K03111
GTps-k1-95E4	GT-K03112
GTps-k1-E055	GT-K03113
GTps-09-9A67	GT-K03114
GTps-k2-959E	GT-K03115
GTps-k2-8E7C	GT-K03116
GTps-k2-956E	GT-K03117
GTps-02-95B6	GT-K03118
GTps-k1-8CAD	GT-K03119
GTps-k1-9C7A	GT-K03120
GTps-02-95BF	GT-K03121
GTps-02-95B5	GT-K03122
GTps-k2-9390	GT-K03123
GTps-02-95BC	GT-K03124
GTps-02-9E8C	GT-K03125
GTps-02-9E8F	GT-K03126
GTps-02-9E9D	GT-K03127
GTps-02-9E84	GT-K03128
GTps-02-9E9C	GT-K03129
GTps-k1-8A7C	GT-K03130
GTps-k1-93EA	GT-K03131
GTps-02-9E8D	GT-K03132
GTps-k1-E8A5	GT-K03133
GTps-k1-8FEA	GT-K03134
GTps-k2-8CBE	GT-K03135
GTps-k1-96CE	GT-K03136
GTps-k1-9AD0	GT-K03137
GTps-k1-EA87	GT-K03138
GTps-k1-E7AE	GT-K03139
GTps-02-E350	GT-K03140
GTps-k2-8D52	GT-K03141
