GTps-10-E2AB	GT-K06001
GTps-10-E2A4	GT-K06002
GTps-k2-88F7	GT-K06003
GTps-10-E2D4	GT-K06004
GTps-10-E444	GT-K06005
GTps-10-E2DE	GT-K06006
GTps-10-E2BE	GT-K06007
GTps-k2-8CD3	GT-K06008
GTps-10-E2C1	GT-K06009
GTps-k2-89C0	GT-K06010
GTps-k1-9CAA	GT-K06011
GTps-04-89CA	GT-K06012
GTps-10-E2C2	GT-K06013
GTps-k2-8DDD	GT-K06014
GTps-k2-8A58	GT-K06015
GTps-k2-8F90	GT-K06016
GTps-k2-8DF3	GT-K06017
GTps-k2-8CCD	GT-K06018
GTps-09-9376	GT-K06019
GTps-09-9D61	GT-K06020
GTps-k2-8C5E	GT-K06021
GTps-k2-8C5F	GT-K06022
GTps-k2-9462	GT-K06023
GTps-k2-9463	GT-K06024
GTps-k1-966B	GT-K06025
GTps-k1-E0D3	GT-K06026
GTps-k1-8D4F	GT-K06027
GTps-k2-8A8F	GT-K06028
GTps-k2-8D70	GT-K06029
GTps-k1-9EDC	GT-K06030
GTps-k1-9DF1	GT-K06031
GTps-k1-9160	GT-K06032
GTps-k1-9162	GT-K06033
GTps-k2-9445	GT-K06034
GTps-k1-8EE2	GT-K06035
GTps-k1-92DD	GT-K06036
GTps-k1-9280	GT-K06037
GTps-k2-8B7B	GT-K06038
GTps-k1-93F8	GT-K06039
GTps-k1-9977	GT-K06040
GTps-09-977A	GT-K06041
GTps-k1-97F9	GT-K06042
GTps-k1-E3F2	GT-K06043
GTps-k2-8AD8	GT-K06044
GTps-k1-9979	GT-K06045
GTps-k1-997A	GT-K06046
GTps-k1-9978	GT-K06047
GTps-06-8B5A	GT-K06048
GTps-k1-E147	GT-K06049
GTps-09-8F99	GT-K06050
GTps-k1-E14B	GT-K06051
GTps-k1-EA8D	GT-K06052
GTps-k1-9163	GT-K06053
GTps-k2-93A1	GT-K06054
GTps-k2-8AB4	GT-K06055
GTps-k2-9563	GT-K06056
GTps-k1-9DD8	GT-K06057
GTps-k1-8BA0	GT-K06058
GTps-02-88C4	GT-K06059
GTps-k1-E3EB	GT-K06060
GTps-k1-8FF8	GT-K06061
GTps-03-E86B	GT-K06062
GTps-k1-9D4D	GT-K06063
GTps-k1-97F4	GT-K06064
GTps-k2-8FFA	GT-K06065
GTps-k2-8B76	GT-K06066
GTps-k2-8BB3	GT-K06067
GTps-k2-946F	GT-K06068
GTps-k2-8C63	GT-K06069
GTps-09-E3AA	GT-K06070
GTps-k2-8B42	GT-K06071
GTps-k2-8D6F	GT-K06072
GTps-k2-8C41	GT-K06073
GTps-k2-94B0	GT-K06074
GTps-09-E9AE	GT-K06075
GTps-09-8D67	GT-K06076
GTps-k1-97FC	GT-K06077
GTps-k2-8D8D	GT-K06078
GTps-k1-E4B2	GT-K06079
GTps-05-E9F6	GT-K06080
GTps-k1-975E	GT-K06081
GTps-05-E9F9	GT-K06082
GTps-k2-95B8	GT-K06083
GTps-k1-9849	GT-K06084
GTps-k1-E062	GT-K06085
GTps-k2-95A1	GT-K06086
GTps-k2-8D53	GT-K06087
GTps-02-8E8B	GT-K06088
GTps-k1-8C74	GT-K06089
GTps-k1-9C8B	GT-K06090
GTps-k2-8EAC	GT-K06091
GTps-k1-9A71	GT-K06092
GTps-k1-E065	GT-K06093
GTps-06-94E4	GT-K06094
GTps-06-94D4	GT-K06095
GTps-06-94F5	GT-K06096
GTps-06-94E7	GT-K06097
GTps-06-94B2	GT-K06098
GTps-k2-9264	GT-K06099
GTps-06-94D0	GT-K06100
GTps-06-94C6	GT-K06101
GTps-06-94E6	GT-K06102
GTps-06-94C8	GT-K06103
GTps-06-94BE	GT-K06104
GTps-06-94EB	GT-K06105
GTps-k1-E2B4	GT-K06106
GTps-06-94BA	GT-K06107
GTps-k1-E2A8	GT-K06108
GTps-06-94D1	GT-K06109
GTps-06-94B5	GT-K06110
GTps-06-94D9	GT-K06111
GTps-06-94F4	GT-K06112
GTps-k2-8DD6	GT-K06113
GTps-k1-E3A8	GT-K06114
GTps-06-94AC	GT-K06115
GTps-k1-91E4	GT-K06116
GTps-k1-97BB	GT-K06117
GTps-k2-95E3	GT-K06118
GTps-k2-8BBE	GT-K06119
GTps-k1-9495	GT-K06120
