GTps-08-E795	GT-K09001
GTps-01-89B7	GT-K09002
GTps-06-96C5	GT-K09003
GTps-01-89DF	GT-K09004
GTps-01-89EA	GT-K09005
GTps-08-895D	GT-K09006
GTps-01-8A4A	GT-K09007
GTps-01-8A6F	GT-K09008
GTps-02-91D5	GT-K09009
GTps-01-8A84	GT-K09010
GTps-04-9867	GT-K09011
GTps-01-8A9F	GT-K09012
GTps-02-EA87	GT-K09013
GTps-01-8AA6	GT-K09014
GTps-01-8AB8	GT-K09015
GTps-01-8ABC	GT-K09016
GTps-01-8AD4	GT-K09017
GTps-01-8AD5	GT-K09018
GTps-01-8AE5	GT-K09019
GTps-01-8AEC	GT-K09020
GTps-01-8AF4	GT-K09021
GTps-01-8AFA	GT-K09022
GTps-01-8AFB	GT-K09023
GTps-01-8B4D	GT-K09024
GTps-01-8B5C	GT-K09025
GTps-06-96B6	GT-K09026
GTps-01-8B6F	GT-K09027
GTps-k1-8ACE	GT-K09028
GTps-01-8B94	GT-K09029
GTps-04-9858	GT-K09030
GTps-k1-8E89	GT-K09031
GTps-06-9FAE	GT-K09032
GTps-01-8BAA	GT-K09033
GTps-03-9544	GT-K09034
GTps-01-8BC9	GT-K09035
GTps-01-8BCE	GT-K09036
GTps-01-8BD4	GT-K09037
GTps-01-8BD5	GT-K09038
GTps-01-8BF5	GT-K09039
GTps-01-8BF6	GT-K09040
GTps-03-E14D	GT-K09041
GTps-01-8C68	GT-K09042
GTps-01-8C69	GT-K09043
GTps-01-8C81	GT-K09044
GTps-01-8C8B	GT-K09045
GTps-01-8C97	GT-K09046
GTps-01-8CB8	GT-K09047
GTps-08-895F	GT-K09048
GTps-01-8CD9	GT-K09049
GTps-01-8D41	GT-K09050
GTps-01-8D80	GT-K09051
GTps-01-8DC5	GT-K09052
GTps-02-8F94	GT-K09053
GTps-01-8DD2	GT-K09054
GTps-01-8DD9	GT-K09055
GTps-01-8DF4	GT-K09056
GTps-01-8E50	GT-K09057
GTps-01-8E55	GT-K09058
GTps-01-8E7A	GT-K09059
GTps-01-8E87	GT-K09060
GTps-01-8E95	GT-K09061
GTps-01-8EA0	GT-K09062
GTps-01-8ECF	GT-K09063
GTps-01-8F41	GT-K09064
GTps-01-8F4F	GT-K09065
GTps-01-8F57	GT-K09066
GTps-06-9288	GT-K09067
GTps-01-8F7A	GT-K09068
GTps-01-8F8B	GT-K09069
GTps-01-8FB6	GT-K09070
GTps-01-8FBB	GT-K09071
GTps-01-8FC3	GT-K09072
GTps-01-8FC5	GT-K09073
GTps-01-8FDB	GT-K09074
GTps-01-9058	GT-K09075
GTps-07-9C75	GT-K09076
GTps-03-897E	GT-K09077
GTps-01-9071	GT-K09078
GTps-01-907B	GT-K09079
GTps-01-907E	GT-K09080
GTps-01-908B	GT-K09081
GTps-01-908F	GT-K09082
GTps-01-9150	GT-K09083
GTps-01-9152	GT-K09084
GTps-09-9679	GT-K09085
GTps-01-9160	GT-K09086
GTps-01-916E	GT-K09087
GTps-01-9172	GT-K09088
GTps-01-9192	GT-K09089
GTps-01-91AE	GT-K09090
GTps-03-897C	GT-K09091
GTps-01-91B8	GT-K09092
GTps-01-91D6	GT-K09093
GTps-01-91DD	GT-K09094
GTps-01-91E0	GT-K09095
GTps-01-9242	GT-K09096
GTps-01-9246	GT-K09097
GTps-01-9258	GT-K09098
GTps-01-9271	GT-K09099
GTps-01-9278	GT-K09100
GTps-01-9285	GT-K09101
GTps-k2-88B7	GT-K09102
GTps-01-92A9	GT-K09103
GTps-04-88A8	GT-K09104
GTps-01-92C5	GT-K09105
GTps-01-92E7	GT-K09106
GTps-01-92F1	GT-K09107
GTps-03-8AEC	GT-K09108
GTps-01-936F	GT-K09109
GTps-07-9F5E	GT-K09110
GTps-01-9392	GT-K09111
GTps-01-939A	GT-K09112
GTps-01-939B	GT-K09113
GTps-01-939F	GT-K09114
GTps-01-93B6	GT-K09115
GTps-01-93B9	GT-K09116
GTps-01-93D6	GT-K09117
GTps-01-93D9	GT-K09118
GTps-01-944B	GT-K09119
GTps-01-9469	GT-K09120
GTps-01-9470	GT-K09121
GTps-01-9483	GT-K09122
GTps-02-94E3	GT-K09123
GTps-01-948E	GT-K09124
GTps-01-94A4	GT-K09125
GTps-01-94C1	GT-K09126
GTps-01-94D4	GT-K09127
GTps-01-94D8	GT-K09128
GTps-01-94DF	GT-K09129
GTps-01-94E3	GT-K09130
GTps-01-94EF	GT-K09131
GTps-01-94F5	GT-K09132
GTps-01-94FA	GT-K09133
GTps-01-954D	GT-K09134
GTps-01-956B	GT-K09135
GTps-01-9578	GT-K09136
GTps-01-9581	GT-K09137
GTps-01-9592	GT-K09138
GTps-01-9598	GT-K09139
GTps-01-959C	GT-K09140
GTps-01-95A3	GT-K09141
GTps-01-95B0	GT-K09142
GTps-01-95E2	GT-K09143
GTps-01-95F1	GT-K09144
GTps-01-9666	GT-K09145
GTps-01-969E	GT-K09146
GTps-01-96B3	GT-K09147
GTps-01-96C7	GT-K09148
GTps-01-96E1	GT-K09149
GTps-01-96E3	GT-K09150
