J90-2121	 U+3000
J90-2122	 U+3001
J90-2123	 U+3002
J90-2124	 U+FF0C
J90-2125	 U+FF0E
J90-2126	 U+30FB
J90-2127	 U+FF1A
J90-2128	 U+FF1B
J90-2129	 U+FF1F
J90-212A	 U+FF01
J90-212B	 U+309B
J90-212C	 U+309C
J90-212D	 U+00B4
J90-212E	 U+FF40
J90-212F	 U+00A8
J90-2130	 U+FF3E
J90-2131	 U+203E
J90-2132	 U+FF3F
J90-2133	 U+30FD
J90-2134	 U+30FE
J90-2135	 U+309D
J90-2136	 U+309E
J90-2137	 U+3003
J90-2138	 U+4EDD
J90-2139	 U+3005
J90-213A	 U+3006
J90-213B	 U+3007
J90-213C	 U+30FC
J90-213D	 U+2014
J90-213E	 U+2010
J90-213F	 U+FF0F
J90-2140	 U+FF3C
J90-2141	 U+301C
J90-2142	 U+2016
J90-2143	 U+FF5C
J90-2144	 U+2026
J90-2145	 U+2025
J90-2146	 U+2018
J90-2147	 U+2019
J90-2148	 U+201C
J90-2149	 U+201D
J90-214A	 U+FF08
J90-214B	 U+FF09
J90-214C	 U+3014
J90-214D	 U+3015
J90-214E	 U+FF3B
J90-214F	 U+FF3D
J90-2150	 U+FF5B
J90-2151	 U+FF5D
J90-2152	 U+3008
J90-2153	 U+3009
J90-2154	 U+300A
J90-2155	 U+300B
J90-2156	 U+300C
J90-2157	 U+300D
J90-2158	 U+300E
J90-2159	 U+300F
J90-215A	 U+3010
J90-215B	 U+3011
J90-215C	 U+FF0B
J90-215D	 U+2212
J90-215E	 U+00B1
J90-215F	 U+00D7
J90-2160	 U+00F7
J90-2161	 U+FF1D
J90-2162	 U+2260
J90-2163	 U+FF1C
J90-2164	 U+FF1E
J90-2165	 U+2266
J90-2166	 U+2267
J90-2167	 U+221E
J90-2168	 U+2234
J90-2169	 U+2642
J90-216A	 U+2640
J90-216B	 U+00B0
J90-216C	 U+2032
J90-216D	 U+2033
J90-216E	 U+2103
J90-216F	 U+FFE5
J90-2170	 U+FF04
J90-2171	 U+FFE0
J90-2172	 U+FFE1
J90-2173	 U+FF05
J90-2174	 U+FF03
J90-2175	 U+FF06
J90-2176	 U+FF0A
J90-2177	 U+FF20
J90-2178	 U+00A7
J90-2179	 U+2606
J90-217A	 U+2605
J90-217B	 U+25CB
J90-217C	 U+25CF
J90-217D	 U+25CE
J90-217E	 U+25C7
J90-2221	 U+25C6
J90-2222	 U+25A1
J90-2223	 U+25A0
J90-2224	 U+25B3
J90-2225	 U+25B2
J90-2226	 U+25BD
J90-2227	 U+25BC
J90-2228	 U+203B
J90-2229	 U+3012
J90-222A	 U+2192
J90-222B	 U+2190
J90-222C	 U+2191
J90-222D	 U+2193
J90-222E	 U+3013
J90-223A	 U+2208
J90-223B	 U+220B
J90-223C	 U+2286
J90-223D	 U+2287
J90-223E	 U+2282
J90-223F	 U+2283
J90-2240	 U+222A
J90-2241	 U+2229
J90-224A	 U+2227
J90-224B	 U+2228
J90-224C	 U+FFE2
J90-224D	 U+21D2
J90-224E	 U+21D4
J90-224F	 U+2200
J90-2250	 U+2203
J90-225C	 U+2220
J90-225D	 U+22A5
J90-225E	 U+2312
J90-225F	 U+2202
J90-2260	 U+2207
J90-2261	 U+2261
J90-2262	 U+2252
J90-2263	 U+226A
J90-2264	 U+226B
J90-2265	 U+221A
J90-2266	 U+223D
J90-2267	 U+221D
J90-2268	 U+2235
J90-2269	 U+222B
J90-226A	 U+222C
J90-2272	 U+212B
J90-2273	 U+2030
J90-2274	 U+266F
J90-2275	 U+266D
J90-2276	 U+266A
J90-2277	 U+2020
J90-2278	 U+2021
J90-2279	 U+00B6
J90-227E	 U+25EF
J90-2330	 U+FF10
J90-2331	 U+FF11
J90-2332	 U+FF12
J90-2333	 U+FF13
J90-2334	 U+FF14
J90-2335	 U+FF15
J90-2336	 U+FF16
J90-2337	 U+FF17
J90-2338	 U+FF18
J90-2339	 U+FF19
J90-2341	 U+FF21
J90-2342	 U+FF22
J90-2343	 U+FF23
J90-2344	 U+FF24
J90-2345	 U+FF25
J90-2346	 U+FF26
J90-2347	 U+FF27
J90-2348	 U+FF28
J90-2349	 U+FF29
J90-234A	 U+FF2A
J90-234B	 U+FF2B
J90-234C	 U+FF2C
J90-234D	 U+FF2D
J90-234E	 U+FF2E
J90-234F	 U+FF2F
J90-2350	 U+FF30
J90-2351	 U+FF31
J90-2352	 U+FF32
J90-2353	 U+FF33
J90-2354	 U+FF34
J90-2355	 U+FF35
J90-2356	 U+FF36
J90-2357	 U+FF37
