JC3-41A1	U+4E02
JC3-41A2	U+4E19
JC3-41A3	U+4E24
JC3-41A4	U+723E
JC3-41A5	U+4E08
JC3-41A7	U+5F0E
JC3-41A8	U+4E12
JC3-41AC	U+4E28
JC3-41AE	U+3404
JC3-41AF	U+4E2E
JC3-41B3	U+4E3B
JC3-41B7	U+4E47
JC3-41B8	U+51E2
JC3-41B9	U+4E51
JC3-41BA	U+4E22
JC3-41BB	U+4E55
JC3-41BC	U+4E42
JC3-41BD	U+4E44
JC3-41C1	U+4E74
JC3-41C2	U+4E68
JC3-41C3	U+4E75
JC3-41C4	U+4E73
JC3-41C5	U+4E7F
JC3-41C6	U+4E5C
JC3-41CE	U+4E96
JC3-41CF	U+4E8D
JC3-41D0	U+4E97
JC3-41D1	U+4E9D
JC3-41D5	U+4EA5
JC3-41D6	U+4EA4
JC3-41D7	U+342C
JC3-41D8	U+4EAF
JC3-41D9	U+342E
JC3-41DA	U+4EB6
JC3-41DB	U+4EB9
JC3-41DF	U+501D
JC3-41E0	U-000201A4
JC3-41E1	U+5C12
JC3-41E2	U+4F58
JC3-41E3	U+4F71
JC3-41E4	U+5316
JC3-41E5	U+4EC3
JC3-41E6	U+3430
JC3-41E7	U+4EDB
JC3-41E8	U+4EE1
JC3-41E9	U+4EE8
JC3-41EA	U+4EF1
JC3-41EB	U+4EF3
JC3-41EC	U+4EFD
JC3-41ED	U+4EFE
JC3-41EE	U+4EFF
JC3-41EF	U+4F00
JC3-41F0	U+4F03
JC3-41F1	U+4F08
JC3-41F2	U+4F0B
JC3-41F3	U+4F12
JC3-41F4	U+4F15
JC3-41F5	U+4F19
JC3-41F6	U+4F02
JC3-41F7	U+4F2E
JC3-41F9	U+4F34
JC3-41FA	U+4F35
JC3-41FB	U+4F39
JC3-41FC	U+4F3B
JC3-41FD	U+4F3E
JC3-41FE	U+4F40
JC3-42A1	U+4F42
JC3-42A2	U+4F48
JC3-42A3	U+4F49
JC3-42A4	U+4F4B
JC3-42A5	U+4F4F
JC3-42A6	U+4F52
JC3-42A7	U+4F54
JC3-42A8	U+4F56
JC3-42A9	U+3445
JC3-42AA	U+4F5F
JC3-42AB	U+4F63
JC3-42AC	U+4F6E
JC3-42AD	U+4F78
JC3-42AE	U+4F7A
JC3-42AF	U+4F7D
JC3-42B0	U+4F7E
JC3-42B1	U+4F7F
JC3-42B2	U+4F84
JC3-42B3	U+4F8A
JC3-42B4	U+4F8E
JC3-42B5	U+4F92
JC3-42B6	U+4F93
JC3-42B7	U+4F94
JC3-42B8	U+4F97
JC3-42B9	U+4F9A
JC3-42BA	U+4F9F
JC3-42BB	U+FA30
JC3-42BC	U+4F6D
JC3-42BD	U+4FB1
JC3-42BE	U+4FB2
JC3-42BF	U+4FB9
JC3-42C0	U+4FB5
JC3-42C1	U+4FBC
JC3-42C2	U+4FBD
JC3-42C3	U+4FBE
JC3-42C4	U+4FBF
JC3-42C5	U+4FC1
JC3-42C6	U+4FC5
JC3-42C7	U+4FC9
JC3-42C8	U+4FCB
JC3-42C9	U+4FCC
JC3-42CA	U+4FCD
JC3-42CB	U+4FCF
JC3-42CC	U+4FE2
JC3-42CE	U+4FF0
JC3-42CF	U+4FF1
JC3-42D0	U+4FFC
JC3-42D1	U+4FFD
JC3-42D2	U+5000
JC3-42D3	U+5001
JC3-42D4	U+5004
JC3-42D5	U+5007
JC3-42D6	U+500C
JC3-42D7	U+500E
JC3-42D8	U+5010
JC3-42D9	U+5013
JC3-42DA	U+5017
JC3-42DB	U+5018
JC3-42DC	U+501B
JC3-42DD	U+501C
JC3-42DE	U+501E
JC3-42DF	U+5022
JC3-42E0	U+5027
JC3-42E2	U+5030
JC3-42E3	U+5032
JC3-42E4	U+5035
JC3-42E5	U+3468
JC3-42E6	U+3464
JC3-42E7	U+5040
JC3-42E8	U+5042
JC3-42E9	U+5046
JC3-42EA	U+504E
JC3-42EB	U+504F
JC3-42EC	U+5057
JC3-42ED	U+5059
JC3-42EE	U+505F
JC3-42EF	U+5062
JC3-42F0	U+5063
JC3-42F1	U+5065
JC3-42F2	U+5066
JC3-42F3	U+5067
JC3-42F4	U+506A
JC3-42F5	U+5070
JC3-42F6	U+5071
JC3-42F7	U+5077
JC3-42F8	U+5084
JC3-42F9	U+508A
JC3-42FA	U+508E
JC3-42FB	U+5093
JC3-42FC	U+5094
JC3-42FD	U+5096
JC3-42FE	U+4FF2
JC3-43A1	U+509B
JC3-43A2	U+509C
JC3-43A3	U+509E
JC3-43A4	U+509F
JC3-43A5	U+50A0
JC3-43A6	U+50A2
JC3-43A8	U+50A5
JC3-43A9	U+50B9
JC3-43AA	U+50BD
JC3-43AB	U+50C0
JC3-43AC	U+50C7
JC3-43AD	U+50CC
JC3-43AE	U+7FDB
JC3-43AF	U+50CE
JC3-43B0	U+50D3
JC3-43B1	U+50D4
JC3-43B2	U+50D8
JC3-43B3	U+50D9
JC3-43B4	U+50DC
