JSP-222F	 U+02D8
JSP-2230	 U+02C7
JSP-2231	 U+00B8
JSP-2232	 U+02D9
JSP-2233	 U+02DD
JSP-2234	 U+FFE3
JSP-2235	 U+02DB
JSP-2236	 U+02DA
JSP-2237	 U+FF5E
JSP-2238	 U+0384
JSP-2239	 U+0385
JSP-2242	 U+00A1
JSP-2243	 U+FFE4
JSP-2244	 U+00BF
JSP-226B	 U+00BA
JSP-226C	 U+00AA
JSP-226D	 U+00A9
JSP-226E	 U+00AE
JSP-226F	 U+2122
JSP-2270	 U+00A4
JSP-2271	 U+2116
JSP-2661	 U+0386
JSP-2662	 U+0388
JSP-2663	 U+0389
JSP-2664	 U+038A
JSP-2665	 U+03AA
JSP-2667	 U+038C
JSP-2669	 U+038E
JSP-266A	 U+03AB
JSP-266C	 U+038F
JSP-2671	 U+03AC
JSP-2672	 U+03AD
JSP-2673	 U+03AE
JSP-2674	 U+03AF
JSP-2675	 U+03CA
JSP-2676	 U+0390
JSP-2677	 U+03CC
JSP-2678	 U+03C2
JSP-2679	 U+03CD
JSP-267A	 U+03CB
JSP-267B	 U+03B0
JSP-267C	 U+03CE
JSP-2742	 U+0402
JSP-2743	 U+0403
JSP-2744	 U+0404
JSP-2745	 U+0405
JSP-2746	 U+0406
JSP-2747	 U+0407
JSP-2748	 U+0408
JSP-2749	 U+0409
JSP-274A	 U+040A
JSP-274B	 U+040B
JSP-274C	 U+040C
JSP-274D	 U+040E
JSP-274E	 U+040F
JSP-2772	 U+0452
JSP-2773	 U+0453
JSP-2774	 U+0454
JSP-2775	 U+0455
JSP-2776	 U+0456
JSP-2777	 U+0457
JSP-2778	 U+0458
JSP-2779	 U+0459
JSP-277A	 U+045A
JSP-277B	 U+045B
JSP-277C	 U+045C
JSP-277D	 U+045E
JSP-277E	 U+045F
JSP-2921	 U+00C6
JSP-2922	 U+0110
JSP-2924	 U+0126
JSP-2926	 U+0132
JSP-2928	 U+0141
JSP-2929	 U+013F
JSP-292B	 U+014A
JSP-292C	 U+00D8
JSP-292D	 U+0152
JSP-292F	 U+0166
JSP-2930	 U+00DE
JSP-2941	 U+00E6
JSP-2942	 U+0111
JSP-2943	 U+00F0
JSP-2944	 U+0127
JSP-2945	 U+0131
JSP-2946	 U+0133
JSP-2947	 U+0138
JSP-2948	 U+0142
JSP-2949	 U+0140
JSP-294A	 U+0149
JSP-294B	 U+014B
JSP-294C	 U+00F8
JSP-294D	 U+0153
JSP-294E	 U+00DF
JSP-294F	 U+0167
JSP-2950	 U+00FE
JSP-2A21	 U+00C1
JSP-2A22	 U+00C0
