JX1-2121	 U+3000
JX1-2122	 U+3001
JX1-2123	 U+3002
JX1-2124	 U+FF0C
JX1-2125	 U+FF0E
JX1-2126	 U+30FB
JX1-2127	 U+FF1A
JX1-2128	 U+FF1B
JX1-2129	 U+FF1F
JX1-212A	 U+FF01
JX1-212B	 U+309B
JX1-212C	 U+309C
JX1-212D	 U+00B4
JX1-212E	 U+FF40
JX1-212F	 U+00A8
JX1-2130	 U+FF3E
JX1-2131	 U+203E
JX1-2132	 U+FF3F
JX1-2133	 U+30FD
JX1-2134	 U+30FE
JX1-2135	 U+309D
JX1-2136	 U+309E
JX1-2137	 U+3003
JX1-2138	 U+4EDD
JX1-2139	 U+3005
JX1-213A	 U+3006
JX1-213B	 U+3007
JX1-213C	 U+30FC
JX1-213D	 U+2014
JX1-213E	 U+2010
JX1-213F	 U+FF0F
JX1-2140	 U+FF3C
JX1-2141	 U+301C
JX1-2142	 U+2016
JX1-2143	 U+FF5C
JX1-2144	 U+2026
JX1-2145	 U+2025
JX1-2146	 U+2018
JX1-2147	 U+2019
JX1-2148	 U+201C
JX1-2149	 U+201D
JX1-214A	 U+FF08
JX1-214B	 U+FF09
JX1-214C	 U+3014
JX1-214D	 U+3015
JX1-214E	 U+FF3B
JX1-214F	 U+FF3D
JX1-2150	 U+FF5B
JX1-2151	 U+FF5D
JX1-2152	 U+3008
JX1-2153	 U+3009
JX1-2154	 U+300A
JX1-2155	 U+300B
JX1-2156	 U+300C
JX1-2157	 U+300D
JX1-2158	 U+300E
JX1-2159	 U+300F
JX1-215A	 U+3010
JX1-215B	 U+3011
JX1-215C	 U+FF0B
JX1-215D	 U+2212
JX1-215E	 U+00B1
JX1-215F	 U+00D7
JX1-2160	 U+00F7
JX1-2161	 U+FF1D
JX1-2162	 U+2260
JX1-2163	 U+FF1C
JX1-2164	 U+FF1E
JX1-2165	 U+2266
JX1-2166	 U+2267
JX1-2167	 U+221E
JX1-2168	 U+2234
JX1-2169	 U+2642
JX1-216A	 U+2640
JX1-216B	 U+00B0
JX1-216C	 U+2032
JX1-216D	 U+2033
JX1-216E	 U+2103
JX1-216F	 U+FFE5
JX1-2170	 U+FF04
JX1-2171	 U+FFE0
JX1-2172	 U+FFE1
JX1-2173	 U+FF05
JX1-2174	 U+FF03
JX1-2175	 U+FF06
JX1-2176	 U+FF0A
JX1-2177	 U+FF20
JX1-2178	 U+00A7
JX1-2179	 U+2606
JX1-217A	 U+2605
JX1-217B	 U+25CB
JX1-217C	 U+25CF
JX1-217D	 U+25CE
JX1-217E	 U+25C7
JX1-2221	 U+25C6
JX1-2222	 U+25A1
JX1-2223	 U+25A0
JX1-2224	 U+25B3
JX1-2225	 U+25B2
JX1-2226	 U+25BD
JX1-2227	 U+25BC
JX1-2228	 U+203B
JX1-2229	 U+3012
JX1-222A	 U+2192
JX1-222B	 U+2190
JX1-222C	 U+2191
JX1-222D	 U+2193
JX1-222E	 U+3013
JX1-222F	 U+FF07
JX1-2230	 U+FF02
JX1-2231	 U+FF0D
JX1-2232	 U+FF5E
JX1-2233	 U+3033
JX1-2234	 U+3034
JX1-2235	 U+3035
JX1-2236	 U+303B
JX1-2237	 U+303C
JX1-2238	 U+30FF
JX1-2239	 U+309F
JX1-223A	 U+2208
JX1-223B	 U+220B
JX1-223C	 U+2286
JX1-223D	 U+2287
JX1-223E	 U+2282
JX1-223F	 U+2283
JX1-2240	 U+222A
JX1-2241	 U+2229
JX1-2242	 U+2284
JX1-2243	 U+2285
JX1-2244	 U+228A
JX1-2245	 U+228B
JX1-2246	 U+2209
JX1-2247	 U+2205
JX1-2248	 U+2305
JX1-2249	 U+2306
JX1-224A	 U+2227
JX1-224B	 U+2228
JX1-224C	 U+FFE2
JX1-224D	 U+21D2
JX1-224E	 U+21D4
JX1-224F	 U+2200
JX1-2250	 U+2203
JX1-2251	 U+2295
JX1-2252	 U+2296
JX1-2253	 U+2297
JX1-2254	 U+2225
JX1-2255	 U+2226
JX1-2256	 U+FF5F
JX1-2257	 U+FF60
JX1-2258	 U+3018
JX1-2259	 U+3019
JX1-225A	 U+3016
JX1-225B	 U+3017
JX1-225C	 U+2220
JX1-225D	 U+22A5
JX1-225E	 U+2312
JX1-225F	 U+2202
JX1-2260	 U+2207
JX1-2261	 U+2261
JX1-2262	 U+2252
JX1-2263	 U+226A
JX1-2264	 U+226B
JX1-2265	 U+221A
JX1-2266	 U+223D
JX1-2267	 U+221D
JX1-2268	 U+2235
JX1-2269	 U+222B
JX1-226A	 U+222C
JX1-226B	 U+2262
JX1-226C	 U+2243
JX1-226D	 U+2245
JX1-226E	 U+2248
JX1-226F	 U+2276
JX1-2270	 U+2277
JX1-2271	 U+2194
JX1-2272	 U+212B
JX1-2273	 U+2030
JX1-2274	 U+266F
JX1-2275	 U+266D
JX1-2276	 U+266A
JX1-2277	 U+2020
JX1-2278	 U+2021
JX1-2279	 U+00B6
JX1-227A	 U+266E
JX1-227B	 U+266B
JX1-227C	 U+266C
JX1-227D	 U+2669
JX1-227E	 U+25EF
JX1-2321	 U+25B7
JX1-2322	 U+25B6
JX1-2323	 U+25C1
JX1-2324	 U+25C0
JX1-2325	 U+2197
JX1-2326	 U+2198
JX1-2327	 U+2196
JX1-2328	 U+2199
JX1-2329	 U+21C4
JX1-232A	 U+21E8
JX1-232B	 U+21E6
JX1-232C	 U+21E7
JX1-232D	 U+21E9
JX1-232E	 U+2934
JX1-232F	 U+2935
JX1-2330	 U+FF10
JX1-2331	 U+FF11
JX1-2332	 U+FF12
JX1-2333	 U+FF13
JX1-2334	 U+FF14
JX1-2335	 U+FF15
JX1-2336	 U+FF16
JX1-2337	 U+FF17
JX1-2338	 U+FF18
JX1-2339	 U+FF19
JX1-233A	 U+29BF
JX1-233B	 U+25C9
JX1-233C	 U+303D
JX1-233D	 U+FE46
JX1-233E	 U+FE45
JX1-233F	 U+25E6
JX1-2340	 U+2022
JX1-2341	 U+FF21
