JX2-2121	 U-00020089
JX2-2122	 U+4E02
JX2-2123	 U+4E0F
JX2-2124	 U+4E12
JX2-2125	 U+4E29
JX2-2126	 U+4E2B
JX2-2127	 U+4E2E
JX2-2128	 U+4E40
JX2-2129	 U+4E47
JX2-212A	 U+4E48
JX2-212B	 U-000200A2
JX2-212C	 U+4E51
JX2-212D	 U+3406
JX2-212E	 U-000200A4
JX2-212F	 U+4E5A
JX2-2130	 U+4E69
JX2-2131	 U+4E9D
JX2-2132	 U+342C
JX2-2133	 U+342E
JX2-2134	 U+4EB9
JX2-2135	 U+4EBB
JX2-2136	 U-000201A2
JX2-2137	 U+4EBC
JX2-2138	 U+4EC3
JX2-2139	 U+4EC8
JX2-213A	 U+4ED0
JX2-213B	 U+4EEB
JX2-213C	 U+4EDA
JX2-213D	 U+4EF1
JX2-213E	 U+4EF5
JX2-213F	 U+4F00
JX2-2140	 U+4F16
JX2-2141	 U+4F64
JX2-2142	 U+4F37
JX2-2143	 U+4F3E
JX2-2144	 U+4F54
JX2-2145	 U+4F58
JX2-2146	 U-00020213
JX2-2147	 U+4F77
JX2-2148	 U+4F78
JX2-2149	 U+4F7A
JX2-214A	 U+4F7D
JX2-214B	 U+4F82
JX2-214C	 U+4F85
JX2-214D	 U+4F92
JX2-214E	 U+4F9A
JX2-214F	 U+4FE6
JX2-2150	 U+4FB2
JX2-2151	 U+4FBE
JX2-2152	 U+4FC5
JX2-2153	 U+4FCB
JX2-2154	 U+4FCF
JX2-2155	 U+4FD2
JX2-2156	 U+346A
JX2-2157	 U+4FF2
JX2-2158	 U+5000
JX2-2159	 U+5010
JX2-215A	 U+5013
JX2-215B	 U+501C
JX2-215C	 U+501E
JX2-215D	 U+5022
JX2-215E	 U+3468
JX2-215F	 U+5042
JX2-2160	 U+5046
JX2-2161	 U+504E
JX2-2162	 U+5053
JX2-2163	 U+5057
JX2-2164	 U+5063
JX2-2165	 U+5066
JX2-2166	 U+506A
JX2-2167	 U+5070
JX2-2168	 U+50A3
JX2-2169	 U+5088
JX2-216A	 U+5092
JX2-216B	 U+5093
JX2-216C	 U+5095
JX2-216D	 U+5096
JX2-216E	 U+509C
JX2-216F	 U+50AA
JX2-2170	 U-0002032B
JX2-2171	 U+50B1
JX2-2172	 U+50BA
JX2-2173	 U+50BB
JX2-2174	 U+50C4
JX2-2175	 U+50C7
JX2-2176	 U+50F3
JX2-2177	 U-00020381
JX2-2178	 U+50CE
JX2-2179	 U-00020371
JX2-217A	 U+50D4
JX2-217B	 U+50D9
JX2-217C	 U+50E1
JX2-217D	 U+50E9
JX2-217E	 U+3492
JX2-2321	 U+5108
JX2-2322	 U-000203F9
JX2-2323	 U+5117
JX2-2324	 U+511B
JX2-2325	 U-0002044A
JX2-2326	 U+5160
JX2-2327	 U-00020509
JX2-2328	 U+5173
JX2-2329	 U+5183
JX2-232A	 U+518B
JX2-232B	 U+34BC
JX2-232C	 U+5198
JX2-232D	 U+51A3
JX2-232E	 U+51AD
JX2-232F	 U+34C7
JX2-2330	 U+51BC
JX2-2331	 U-000205D6
JX2-2332	 U-00020628
JX2-2333	 U+51F3
JX2-2334	 U+51F4
JX2-2335	 U+5202
JX2-2336	 U+5212
JX2-2337	 U+5216
JX2-2338	 U-0002074F
JX2-2339	 U+5255
JX2-233A	 U+525C
JX2-233B	 U+526C
JX2-233C	 U+5277
JX2-233D	 U+5284
JX2-233E	 U+5282
JX2-233F	 U-00020807
JX2-2340	 U+5298
JX2-2341	 U-0002083A
JX2-2342	 U+52A4
JX2-2343	 U+52A6
JX2-2344	 U+52AF
JX2-2345	 U+52BA
JX2-2346	 U+52BB
JX2-2347	 U+52CA
JX2-2348	 U+351F
JX2-2349	 U+52D1
JX2-234A	 U-000208B9
JX2-234B	 U+52F7
JX2-234C	 U+530A
JX2-234D	 U+530B
JX2-234E	 U+5324
JX2-234F	 U+5335
JX2-2350	 U+533E
JX2-2351	 U+5342
JX2-2352	 U-0002097C
JX2-2353	 U-0002099D
JX2-2354	 U+5367
JX2-2355	 U+536C
JX2-2356	 U+537A
JX2-2357	 U+53A4
JX2-2358	 U+53B4
JX2-2359	 U-00020AD3
JX2-235A	 U+53B7
JX2-235B	 U+53C0
JX2-235C	 U-00020B1D
JX2-235D	 U+355D
JX2-235E	 U+355E
JX2-235F	 U+53D5
JX2-2360	 U+53DA
JX2-2361	 U+3563
JX2-2362	 U+53F4
JX2-2363	 U+53F5
JX2-2364	 U+5455
JX2-2365	 U+5424
JX2-2366	 U+5428
JX2-2367	 U+356E
JX2-2368	 U+5443
JX2-2369	 U+5462
JX2-236A	 U+5466
JX2-236B	 U+546C
JX2-236C	 U+548A
JX2-236D	 U+548D
JX2-236E	 U+5495
JX2-236F	 U+54A0
JX2-2370	 U+54A6
JX2-2371	 U+54AD
JX2-2372	 U+54AE
JX2-2373	 U+54B7
JX2-2374	 U+54BA
JX2-2375	 U+54BF
JX2-2376	 U+54C3
JX2-2377	 U-00020D45
JX2-2378	 U+54EC
JX2-2379	 U+54EF
JX2-237A	 U+54F1
JX2-237B	 U+54F3
JX2-237C	 U+5500
JX2-237D	 U+5501
JX2-237E	 U+5509
JX2-2421	 U+553C
JX2-2422	 U+5541
JX2-2423	 U+35A6
JX2-2424	 U+5547
JX2-2425	 U+554A
JX2-2426	 U+35A8
JX2-2427	 U+5560
JX2-2428	 U+5561
JX2-2429	 U+5564
JX2-242A	 U-00020DE1
JX2-242B	 U+557D
JX2-242C	 U+5582
JX2-242D	 U+5588
JX2-242E	 U+5591
JX2-242F	 U+35C5
JX2-2430	 U+55D2
JX2-2431	 U-00020E95
JX2-2432	 U-00020E6D
JX2-2433	 U+55BF
JX2-2434	 U+55C9
JX2-2435	 U+55CC
JX2-2436	 U+55D1
JX2-2437	 U+55DD
JX2-2438	 U+35DA
JX2-2439	 U+55E2
JX2-243A	 U-00020E64
JX2-243B	 U+55E9
JX2-243C	 U+5628
JX2-243D	 U-00020F5F
JX2-243E	 U+5607
JX2-243F	 U+5610
JX2-2440	 U+5630
JX2-2441	 U+5637
JX2-2442	 U+35F4
JX2-2443	 U+563D
JX2-2444	 U+563F
JX2-2445	 U+5640
JX2-2446	 U+5647
JX2-2447	 U+565E
JX2-2448	 U+5660
JX2-2449	 U+566D
JX2-244A	 U+3605
JX2-244B	 U+5688
JX2-244C	 U+568C
JX2-244D	 U+5695
JX2-244E	 U+569A
JX2-244F	 U+569D
JX2-2450	 U+56A8
JX2-2451	 U+56AD
JX2-2452	 U+56B2
JX2-2453	 U+56C5
JX2-2454	 U+56CD
JX2-2455	 U+56DF
JX2-2456	 U+56E8
JX2-2457	 U+56F6
JX2-2458	 U+56F7
JX2-2459	 U-00021201
JX2-245A	 U+5715
JX2-245B	 U+5723
JX2-245C	 U-00021255
JX2-245D	 U+5729
JX2-245E	 U-0002127B
JX2-245F	 U+5745
JX2-2460	 U+5746
JX2-2461	 U+574C
JX2-2462	 U+574D
JX2-2463	 U-00021274
JX2-2464	 U+5768
JX2-2465	 U+576F
JX2-2466	 U+5773
JX2-2467	 U+5774
JX2-2468	 U+5775
JX2-2469	 U+577B
JX2-246A	 U-000212E4
JX2-246B	 U-000212D7
JX2-246C	 U+57AC
JX2-246D	 U+579A
JX2-246E	 U+579D
JX2-246F	 U+579E
JX2-2470	 U+57A8
JX2-2471	 U+57D7
JX2-2472	 U-000212FD
JX2-2473	 U+57CC
JX2-2474	 U-00021336
JX2-2475	 U-00021344
JX2-2476	 U+57DE
JX2-2477	 U+57E6
JX2-2478	 U+57F0
JX2-2479	 U+364A
JX2-247A	 U+57F8
JX2-247B	 U+57FB
JX2-247C	 U+57FD
JX2-247D	 U+5804
JX2-247E	 U+581E
JX2-2521	 U+5820
JX2-2522	 U+5827
JX2-2523	JU+5832
JX2-2524	 U+5839
JX2-2525	 U-000213C4
JX2-2526	 U+5849
JX2-2527	 U+584C
JX2-2528	 U+5867
JX2-2529	 U+588A
JX2-252A	 U+588B
JX2-252B	 U+588D
JX2-252C	 U+588F
JX2-252D	 U+5890
JX2-252E	 U+5894
JX2-252F	 U+589D
JX2-2530	 U+58AA
JX2-2531	 U+58B1
JX2-2532	 U-0002146D
JX2-2533	 U+58C3
JX2-2534	 U+58CD
JX2-2535	 U+58E2
JX2-2536	 U+58F3
JX2-2537	 U+58F4
JX2-2538	 U+5905
JX2-2539	 U+5906
JX2-253A	 U+590B
JX2-253B	 U+590D
JX2-253C	 U+5914
JX2-253D	 U+5924
JX2-253E	 U-000215D7
JX2-253F	 U+3691
JX2-2540	 U+593D
JX2-2541	 U+3699
JX2-2542	 U+5946
JX2-2543	 U+3696
JX2-2544	 U-00026C29
JX2-2545	 U+595B
JX2-2546	 U+595F
JX2-2547	 U-00021647
JX2-2548	 U+5975
JX2-2549	 U+5976
JX2-254A	 U+597C
JX2-254B	 U+599F
JX2-254C	 U+59AE
JX2-254D	 U+59BC
JX2-254E	 U+59C8
JX2-254F	 U+59CD
JX2-2550	 U+59DE
JX2-2551	 U+59E3
JX2-2552	 U+59E4
JX2-2553	 U+59E7
JX2-2554	 U+59EE
JX2-2555	 U-00021706
JX2-2556	 U-00021742
JX2-2557	 U+36CF
JX2-2558	 U+5A0C
JX2-2559	 U+5A0D
JX2-255A	 U+5A17
JX2-255B	 U+5A27
JX2-255C	 U+5A2D
JX2-255D	 U+5A55
JX2-255E	 U+5A65
JX2-255F	 U+5A7A
JX2-2560	 U+5A8B
JX2-2561	 U+5A9C
JX2-2562	 U+5A9F
JX2-2563	 U+5AA0
JX2-2564	 U+5AA2
JX2-2565	 U+5AB1
JX2-2566	 U+5AB3
JX2-2567	 U+5AB5
JX2-2568	 U+5ABA
JX2-2569	 U+5ABF
JX2-256A	 U+5ADA
JX2-256B	 U+5ADC
JX2-256C	 U+5AE0
JX2-256D	 U+5AE5
JX2-256E	 U+5AF0
JX2-256F	 U+5AEE
JX2-2570	 U+5AF5
JX2-2571	 U+5B00
JX2-2572	 U+5B08
JX2-2573	 U+5B17
JX2-2574	 U+5B34
JX2-2575	 U+5B2D
JX2-2576	 U+5B4C
JX2-2577	 U+5B52
JX2-2578	 U+5B68
JX2-2579	 U+5B6F
JX2-257A	 U+5B7C
