1-16-9	逢
1-16-18	芦
1-16-27	飴
1-16-78	溢
1-16-81	茨
1-16-83	鰯
1-16-92	淫
1-17-10	迂
1-17-25	厩
1-17-29	噂
1-17-34	餌
1-18-8	襖
1-18-64	迦
1-18-71	牙
1-18-86	廻
1-18-90	恢
1-19-2	晦
1-19-10	蟹
1-19-75	葛
1-19-83	鞄
1-19-88	釜
1-20-45	翰
1-20-69	翫
1-21-11	徽
1-21-32	祇
1-21-66	汲
1-21-68	灸
1-21-72	笈
1-22-10	卿
1-22-34	饗
1-22-47	僅
1-22-84	喰
1-22-91	櫛
1-22-93	屑
1-23-9	粂
1-23-23	祁
1-23-68	隙
1-23-81	倦
1-23-94	捲
1-24-3	牽
1-24-16	鍵
1-24-33	諺
1-25-11	巷
1-25-28	梗
1-25-49	膏
1-25-84	鵠
1-25-89	甑
1-26-21	叉
1-26-71	榊
1-27-7	薩
1-27-10	鯖
1-27-12	錆
1-27-13	鮫
1-27-33	餐
1-28-61	杓
1-28-62	灼
1-29-22	酋
1-29-61	楯
1-29-82	薯
1-29-83	藷
1-30-5	哨
1-30-68	鞘
1-30-83	杖
1-31-10	蝕
1-31-54	訊
1-31-64	逗
1-32-2	摺
1-32-81	撰
1-32-89	煎
1-32-90	煽
1-32-92	穿
1-32-93	箭
1-33-7	詮
1-33-25	噌
1-33-44	遡
1-34-23	揃
1-34-29	遜
1-34-60	腿
1-34-93	蛸
1-35-9	辿
1-35-14	樽
1-35-23	歎
1-35-80	註
1-35-85	瀦
1-36-29	捗
1-36-40	槌
1-36-42	鎚
1-36-52	辻
1-36-82	挺
1-37-2	鄭
1-37-7	擢
1-37-14	溺
1-37-38	兎
1-37-40	堵
1-37-43	屠
1-37-50	賭
1-38-52	瀞
1-38-59	遁
1-38-70	謎
1-38-71	灘
1-38-74	楢
1-39-9	禰
1-39-55	牌
1-39-71	這
1-39-73	秤
1-39-93	駁
1-40-4	箸
1-40-32	叛
1-40-52	挽
1-40-80	誹
1-40-85	樋
1-41-3	稗
1-41-15	逼
1-41-21	謬
1-41-31	豹
1-41-32	廟
1-41-46	瀕
1-41-64	斧
1-42-35	蔽
1-42-45	瞥
1-42-46	蔑
1-42-51	篇
1-42-58	娩
1-42-60	鞭
1-42-89	庖
1-43-9	蓬
1-43-80	鱒
1-43-88	迄
1-44-57	儲
1-44-63	餅
1-44-66	籾
1-44-76	爺
1-44-90	鑓
1-44-92	愈
1-45-18	猷
1-46-90	漣
1-46-91	煉
1-46-92	簾
1-47-17	榔
1-47-64	屡
1-49-45	冤
1-50-55	叟
1-50-91	咬
1-51-62	嘲
1-51-83	囀
1-55-49	徘
1-57-8	扁
1-59-89	棘
1-60-84	橙
1-64-36	狡
1-65-17	甕
1-65-20	甦
1-65-54	疼
1-67-14	崇
1-67-62	竃
1-68-7	筵
1-68-32	篝
1-71-7	腱
1-71-59	艘
1-71-74	芒
1-73-42	虔
1-73-71	蜃
1-74-4	蝿
1-75-35	訝
1-80-43	靄
1-80-55	靭
1-81-57	騙
1-82-77	鴉
