K0-2121	 U+3000
K0-2122	 U+3001
K0-2123	 U+3002
K0-2124	 U+00B7
K0-2125	 U+2025
K0-2126	 U+2026
K0-2127	 U+00A8
K0-2128	 U+3003
K0-2129	 U+00AD
K0-212A	 U+2015
K0-212B	 U+2225
K0-212C	 U+FF3C
K0-212D	 U+223C
K0-212E	 U+2018
K0-212F	 U+2019
K0-2130	 U+201C
K0-2131	 U+201D
K0-2132	 U+3014
K0-2133	 U+3015
K0-2134	 U+3008
K0-2135	 U+3009
K0-2136	 U+300A
K0-2137	 U+300B
K0-2138	 U+300C
K0-2139	 U+300D
K0-213A	 U+300E
K0-213B	 U+300F
K0-213C	 U+3010
K0-213D	 U+3011
K0-213E	 U+00B1
K0-213F	 U+00D7
K0-2140	 U+00F7
K0-2141	 U+2260
K0-2142	 U+2264
K0-2143	 U+2265
K0-2144	 U+221E
K0-2145	 U+2234
K0-2146	 U+00B0
K0-2147	 U+2032
K0-2148	 U+2033
K0-2149	 U+2103
K0-214A	 U+212B
K0-214B	 U+FFE0
K0-214C	 U+FFE1
K0-214D	 U+FFE5
K0-214E	 U+2642
K0-214F	 U+2640
K0-2150	 U+2220
K0-2151	 U+22A5
K0-2152	 U+2312
K0-2153	 U+2202
K0-2154	 U+2207
K0-2155	 U+2261
K0-2156	 U+2252
K0-2157	 U+00A7
K0-2158	 U+203B
K0-2159	 U+2606
K0-215A	 U+2605
K0-215B	 U+25CB
K0-215C	 U+25CF
K0-215D	 U+25CE
K0-215E	 U+25C7
K0-215F	 U+25C6
K0-2160	 U+25A1
K0-2161	 U+25A0
K0-2162	 U+25B3
K0-2163	 U+25B2
K0-2164	 U+25BD
K0-2165	 U+25BC
K0-2166	 U+2192
K0-2167	 U+2190
K0-2168	 U+2191
K0-2169	 U+2193
K0-216A	 U+2194
K0-216B	 U+3013
K0-216C	 U+226A
K0-216D	 U+226B
K0-216E	 U+221A
K0-216F	 U+223D
K0-2170	 U+221D
K0-2171	 U+2235
K0-2172	 U+222B
K0-2173	 U+222C
K0-2174	 U+2208
K0-2175	 U+220B
K0-2176	 U+2286
K0-2177	 U+2287
K0-2178	 U+2282
K0-2179	 U+2283
K0-217A	 U+222A
K0-217B	 U+2229
K0-217C	 U+2227
K0-217D	 U+2228
K0-217E	 U+FFE2
K0-2221	 U+21D2
K0-2222	 U+21D4
K0-2223	 U+2200
K0-2224	 U+2203
K0-2225	 U+00B4
K0-2226	 U+FF5E
K0-2227	 U+02C7
K0-2228	 U+02D8
K0-2229	 U+02DD
K0-222A	 U+02DA
K0-222B	 U+02D9
K0-222C	 U+00B8
K0-222D	 U+02DB
K0-222E	 U+00A1
K0-222F	 U+00BF
K0-2230	 U+02D0
K0-2231	 U+222E
K0-2232	 U+2211
K0-2233	 U+220F
K0-2234	 U+00A4
K0-2235	 U+2109
K0-2236	 U+2030
K0-2237	 U+25C1
K0-2238	 U+25C0
K0-2239	 U+25B7
K0-223A	 U+25B6
K0-223B	 U+2664
K0-223C	 U+2660
K0-223D	 U+2661
K0-223E	 U+2665
K0-223F	 U+2667
K0-2240	 U+2663
K0-2241	 U+2299
K0-2242	 U+25C8
K0-2243	 U+25A3
K0-2244	 U+25D0
K0-2245	 U+25D1
K0-2246	 U+2592
K0-2247	 U+25A4
K0-2248	 U+25A5
K0-2249	 U+25A8
K0-224A	 U+25A7
K0-224B	 U+25A6
K0-224C	 U+25A9
K0-224D	 U+2668
K0-224E	 U+260F
K0-224F	 U+260E
K0-2250	 U+261C
K0-2251	 U+261E
K0-2252	 U+00B6
K0-2253	 U+2020
K0-2254	 U+2021
K0-2255	 U+2195
K0-2256	 U+2197
K0-2257	 U+2199
K0-2258	 U+2196
K0-2259	 U+2198
K0-225A	 U+266D
K0-225B	 U+2669
K0-225C	 U+266A
K0-225D	 U+266C
K0-225E	 U+327F
K0-225F	 U+321C
K0-2260	 U+2116
K0-2261	 U+33C7
K0-2262	 U+2122
K0-2263	 U+33C2
K0-2264	 U+33D8
K0-2265	 U+2121
K0-2321	 U+FF01
K0-2322	 U+FF02
K0-2323	 U+FF03
K0-2324	 U+FF04
K0-2325	 U+FF05
K0-2326	 U+FF06
K0-2327	 U+FF07
K0-2328	 U+FF08
K0-2329	 U+FF09
K0-232A	 U+FF0A
K0-232B	 U+FF0B
K0-232C	 U+FF0C
K0-232D	 U+FF0D
K0-232E	 U+FF0E
K0-232F	 U+FF0F
K0-2330	 U+FF10
K0-2331	 U+FF11
K0-2332	 U+FF12
K0-2333	 U+FF13
K0-2334	 U+FF14
K0-2335	 U+FF15
K0-2336	 U+FF16
K0-2337	 U+FF17
K0-2338	 U+FF18
K0-2339	 U+FF19
K0-233A	 U+FF1A
K0-233B	 U+FF1B
K0-233C	 U+FF1C
K0-233D	 U+FF1D
K0-233E	 U+FF1E
K0-233F	 U+FF1F
K0-2340	 U+FF20
K0-2341	 U+FF21
K0-2342	 U+FF22
K0-2343	 U+FF23
K0-2344	 U+FF24
K0-2345	 U+FF25
K0-2346	 U+FF26
K0-2347	 U+FF27
K0-2348	 U+FF28
K0-2349	 U+FF29
K0-234A	 U+FF2A
K0-234B	 U+FF2B
K0-234C	 U+FF2C
K0-234D	 U+FF2D
K0-234E	 U+FF2E
K0-234F	 U+FF2F
K0-2350	 U+FF30
K0-2351	 U+FF31
K0-2352	 U+FF32
K0-2353	 U+FF33
K0-2354	 U+FF34
K0-2355	 U+FF35
K0-2356	 U+FF36
K0-2357	 U+FF37
K0-2358	 U+FF38
K0-2359	 U+FF39
K0-235A	 U+FF3A
K0-235B	 U+FF3B
K0-235C	 U+FFE6
K0-235D	 U+FF3D
K0-235E	 U+FF3E
K0-235F	 U+FF3F
K0-2360	 U+FF40
K0-2361	 U+FF41
K0-2362	 U+FF42
K0-2363	 U+FF43
K0-2364	 U+FF44
K0-2365	 U+FF45
K0-2366	 U+FF46
K0-2367	 U+FF47
K0-2368	 U+FF48
K0-2369	 U+FF49
K0-236A	 U+FF4A
K0-236B	 U+FF4B
K0-236C	 U+FF4C
K0-236D	 U+FF4D
K0-236E	 U+FF4E
K0-236F	 U+FF4F
K0-2370	 U+FF50
K0-2371	 U+FF51
K0-2372	 U+FF52
K0-2373	 U+FF53
K0-2374	 U+FF54
K0-2375	 U+FF55
K0-2376	 U+FF56
K0-2377	 U+FF57
K0-2378	 U+FF58
K0-2379	 U+FF59
K0-237A	 U+FF5A
K0-237B	 U+FF5B
K0-237C	 U+FF5C
K0-237D	 U+FF5D
K0-237E	 U+203E
K0-2421	 U+3131
K0-2422	 U+3132
K0-2423	 U+3133
K0-2424	 U+3134
K0-2425	 U+3135
K0-2426	 U+3136
K0-2427	 U+3137
K0-2428	 U+3138
K0-2429	 U+3139
K0-242A	 U+313A
K0-242B	 U+313B
K0-242C	 U+313C
K0-242D	 U+313D
K0-242E	 U+313E
K0-242F	 U+313F
K0-2430	 U+3140
K0-2431	 U+3141
K0-2432	 U+3142
K0-2433	 U+3143
K0-2434	 U+3144
K0-2435	 U+3145
K0-2436	 U+3146
K0-2437	 U+3147
K0-2438	 U+3148
K0-2439	 U+3149
K0-243A	 U+314A
K0-243B	 U+314B
K0-243C	 U+314C
K0-243D	 U+314D
K0-243E	 U+314E
K0-243F	 U+314F
K0-2440	 U+3150
K0-2441	 U+3151
K0-2442	 U+3152
K0-2443	 U+3153
K0-2444	 U+3154
K0-2445	 U+3155
K0-2446	 U+3156
K0-2447	 U+3157
K0-2448	 U+3158
K0-2449	 U+3159
K0-244A	 U+315A
K0-244B	 U+315B
K0-244C	 U+315C
K0-244D	 U+315D
K0-244E	 U+315E
K0-244F	 U+315F
K0-2450	 U+3160
K0-2451	 U+3161
K0-2452	 U+3162
K0-2453	 U+3163
K0-2454	 U+3164
K0-2455	 U+3165
K0-2456	 U+3166
K0-2457	 U+3167
K0-2458	 U+3168
K0-2459	 U+3169
K0-245A	 U+316A
K0-245B	 U+316B
K0-245C	 U+316C
K0-245D	 U+316D
K0-245E	 U+316E
K0-245F	 U+316F
K0-2460	 U+3170
K0-2461	 U+3171
K0-2462	 U+3172
K0-2463	 U+3173
K0-2464	 U+3174
K0-2465	 U+3175
K0-2466	 U+3176
K0-2467	 U+3177
K0-2468	 U+3178
K0-2469	 U+3179
